model,record_id,stratum,jaccard_at_10,overlap_n,pred_comparables,ref_comparables
agent_c,Bobby Witt Jr.__2024_2025,elite,0.0,0,"['Corey Seager', 'Francisco Lindor', 'Trea Turner']","['Bobby Witt Jr. (2023)', 'Bobby Witt Jr. (2024)', 'Dansby Swanson (2022)', 'Fernando Tatis Jr. (2023)', 'Francisco Lindor (2024)', 'J.T. Realmuto (2021)', 'J.T. Realmuto (2022)', 'Jarren Duran (2024)', 'Kyle Tucker (2022)', 'Matt Chapman (2024)']"
agent_c,Alec Burleson__2024_2025,strength_up,0.0,0,"['contact-first corner bat with improving swing decisions', 'low-defense hitter whose value is driven primarily by offense']","['Alec Bohm (2022)', 'Alec Burleson (2023)', 'Jose Abreu (2022)', 'Ketel Marte (2021)', 'Masataka Yoshida (2023)', 'Randal Grichuk (2024)', 'Ty France (2021)', 'Ty France (2022)', 'Vinnie Pasquantino (2024)', 'Xander Bogaerts (2021)']"
agent_c,Sean Murphy__2024_2025,weakness_up,0.0,0,"['power-first, defense-positive catchers rebounding from a down season']","['Chas McCormick (2021)', 'Eugenio Suarez (2023)', 'Gary Sanchez (2022)', 'J.D. Davis (2023)', 'Jake Rogers (2023)', 'Kyle Higashioka (2021)', 'Ryan Jeffers (2021)', 'Ryan McMahon (2023)', 'Ryan McMahon (2024)', 'Seth Brown (2021)']"
agent_c,Francisco Alvarez__2024_2025,decliner,0.0,0,['power-first catcher with increased impact but declining receiving/fielding value'],"['Evan Longoria (2022)', 'Evan Longoria (2023)', 'Jorge Soler (2022)', 'Mitch Haniger (2022)', 'Ryan Jeffers (2023)', 'Tyler Soderstrom (2024)', 'Willson Contreras (2021)', 'Willson Contreras (2022)', 'Willson Contreras (2024)', 'Willy Adames (2021)']"
agent_c,Jonathan India__2024_2025,baseline,0.0,0,"['average-power infielder losing defensive and baserunning value', 'discipline-first second baseman with declining on-base value']","['Anthony Rendon (2021)', 'Austin Nola (2022)', 'Carlos Santana (2021)', 'Gleyber Torres (2024)', 'Jonathan India (2022)', 'Jurickson Profar (2023)', 'Justin Turner (2024)', 'Kris Bryant (2023)', 'Mark Canha (2022)', 'Wilmer Flores (2022)']"
agent_d,Bobby Witt Jr.__2024_2025,elite,1.0,10,"['Bobby Witt Jr. (2023)', 'Bobby Witt Jr. (2024)', 'Dansby Swanson (2022)', 'Fernando Tatis Jr. (2023)', 'Francisco Lindor (2024)', 'J.T. Realmuto (2021)', 'J.T. Realmuto (2022)', 'Jarren Duran (2024)', 'Kyle Tucker (2022)', 'Matt Chapman (2024)']","['Bobby Witt Jr. (2023)', 'Bobby Witt Jr. (2024)', 'Dansby Swanson (2022)', 'Fernando Tatis Jr. (2023)', 'Francisco Lindor (2024)', 'J.T. Realmuto (2021)', 'J.T. Realmuto (2022)', 'Jarren Duran (2024)', 'Kyle Tucker (2022)', 'Matt Chapman (2024)']"
agent_d,Alec Burleson__2024_2025,strength_up,1.0,10,"['Alec Bohm (2022)', 'Alec Burleson (2023)', 'Jose Abreu (2022)', 'Ketel Marte (2021)', 'Masataka Yoshida (2023)', 'Randal Grichuk (2024)', 'Ty France (2021)', 'Ty France (2022)', 'Vinnie Pasquantino (2024)', 'Xander Bogaerts (2021)']","['Alec Bohm (2022)', 'Alec Burleson (2023)', 'Jose Abreu (2022)', 'Ketel Marte (2021)', 'Masataka Yoshida (2023)', 'Randal Grichuk (2024)', 'Ty France (2021)', 'Ty France (2022)', 'Vinnie Pasquantino (2024)', 'Xander Bogaerts (2021)']"
agent_d,Sean Murphy__2024_2025,weakness_up,1.0,10,"['Chas McCormick (2021)', 'Eugenio Suarez (2023)', 'Gary Sanchez (2022)', 'J.D. Davis (2023)', 'Jake Rogers (2023)', 'Kyle Higashioka (2021)', 'Ryan Jeffers (2021)', 'Ryan McMahon (2023)', 'Ryan McMahon (2024)', 'Seth Brown (2021)']","['Chas McCormick (2021)', 'Eugenio Suarez (2023)', 'Gary Sanchez (2022)', 'J.D. Davis (2023)', 'Jake Rogers (2023)', 'Kyle Higashioka (2021)', 'Ryan Jeffers (2021)', 'Ryan McMahon (2023)', 'Ryan McMahon (2024)', 'Seth Brown (2021)']"
agent_d,Francisco Alvarez__2024_2025,decliner,1.0,10,"['Evan Longoria (2022)', 'Evan Longoria (2023)', 'Jorge Soler (2022)', 'Mitch Haniger (2022)', 'Ryan Jeffers (2023)', 'Tyler Soderstrom (2024)', 'Willson Contreras (2021)', 'Willson Contreras (2022)', 'Willson Contreras (2024)', 'Willy Adames (2021)']","['Evan Longoria (2022)', 'Evan Longoria (2023)', 'Jorge Soler (2022)', 'Mitch Haniger (2022)', 'Ryan Jeffers (2023)', 'Tyler Soderstrom (2024)', 'Willson Contreras (2021)', 'Willson Contreras (2022)', 'Willson Contreras (2024)', 'Willy Adames (2021)']"
agent_d,Jonathan India__2024_2025,baseline,1.0,10,"['Anthony Rendon (2021)', 'Austin Nola (2022)', 'Carlos Santana (2021)', 'Gleyber Torres (2024)', 'Jonathan India (2022)', 'Jurickson Profar (2023)', 'Justin Turner (2024)', 'Kris Bryant (2023)', 'Mark Canha (2022)', 'Wilmer Flores (2022)']","['Anthony Rendon (2021)', 'Austin Nola (2022)', 'Carlos Santana (2021)', 'Gleyber Torres (2024)', 'Jonathan India (2022)', 'Jurickson Profar (2023)', 'Justin Turner (2024)', 'Kris Bryant (2023)', 'Mark Canha (2022)', 'Wilmer Flores (2022)']"
