model,stratum,target,n,mae,sign_accuracy
agent_b,elite,war,1,1.8,1.0
agent_b,elite,wrc,1,26.0,1.0
agent_b,elite,ops,1,0.07,1.0
agent_b,strength_up,war,1,0.9999999999999999,1.0
agent_b,strength_up,wrc,1,13.9,1.0
agent_b,strength_up,ops,1,0.053000000000000005,1.0
agent_b,weakness_up,war,3,0.5333333333333333,1.0
agent_b,weakness_up,wrc,3,16.8,1.0
agent_b,weakness_up,ops,3,0.060999999999999964,1.0
agent_b,decliner,war,1,2.0816681711721685e-16,1.0
agent_b,decliner,wrc,1,19.0,1.0
agent_b,decliner,ops,1,0.063,1.0
agent_b,baseline,war,1,1.1,1.0
agent_b,baseline,wrc,1,10.0,1.0
agent_b,baseline,ops,1,0.028999999999999908,1.0
agent_c,elite,war,1,0.20000000000000018,1.0
agent_c,elite,wrc,1,15.0,1.0
agent_c,elite,ops,1,0.028999999999999998,1.0
agent_c,strength_up,war,1,0.2999999999999998,1.0
agent_c,strength_up,wrc,1,3.0,1.0
agent_c,strength_up,ops,1,0.011000000000000003,1.0
agent_c,weakness_up,war,3,0.19999999999999987,0.6666666666666666
agent_c,weakness_up,wrc,3,10.333333333333334,1.0
agent_c,weakness_up,ops,3,0.03466666666666663,1.0
agent_c,decliner,war,1,0.2999999999999998,0.0
agent_c,decliner,wrc,1,16.0,1.0
agent_c,decliner,ops,1,0.041999999999999996,1.0
agent_c,baseline,war,1,1.4000000000000001,1.0
agent_c,baseline,wrc,1,3.0,1.0
agent_c,baseline,ops,1,0.005999999999999908,1.0
agent_d,elite,war,1,1.1931264547999558,1.0
agent_d,elite,wrc,1,7.784952479180053,1.0
agent_d,elite,ops,1,0.011274732361390344,1.0
agent_d,strength_up,war,1,0.4387380892798485,1.0
agent_d,strength_up,wrc,1,6.998358860171827,1.0
agent_d,strength_up,ops,1,0.03973196011317493,1.0
agent_d,weakness_up,war,3,0.4666574446999105,0.6666666666666666
agent_d,weakness_up,wrc,3,9.229650440955995,1.0
agent_d,weakness_up,ops,3,0.038971857660474514,1.0
agent_d,decliner,war,1,0.658374405621313,0.0
agent_d,decliner,wrc,1,6.815930672323127,1.0
agent_d,decliner,ops,1,0.02068889128158538,1.0
agent_d,baseline,war,1,0.24719889299972042,1.0
agent_d,baseline,wrc,1,4.384136841534534,1.0
agent_d,baseline,ops,1,0.011760893520842225,1.0
lr_basic,elite,war,1,1.2078431816258468,1.0
lr_basic,elite,wrc,1,4.929389260089458,1.0
lr_basic,elite,ops,1,0.01239791132014989,1.0
lr_basic,strength_up,war,1,0.3014151021297471,1.0
lr_basic,strength_up,wrc,1,6.407028437347012,1.0
lr_basic,strength_up,ops,1,0.039798089280119305,1.0
lr_basic,weakness_up,war,3,0.48950722787730055,0.6666666666666666
lr_basic,weakness_up,wrc,3,9.02907886025871,1.0
lr_basic,weakness_up,ops,3,0.0391016176412533,1.0
lr_basic,decliner,war,1,0.5940319716962416,0.0
lr_basic,decliner,wrc,1,7.170195463840869,1.0
lr_basic,decliner,ops,1,0.02169110972439,1.0
lr_basic,baseline,war,1,0.18515080585867238,1.0
lr_basic,baseline,wrc,1,3.358430652383884,1.0
lr_basic,baseline,ops,1,0.010345707751255095,1.0
lr_extended,elite,war,1,1.195429237061079,1.0
lr_extended,elite,wrc,1,7.801288193944995,1.0
lr_extended,elite,ops,1,0.011189493790640298,1.0
lr_extended,strength_up,war,1,0.42942832120298635,1.0
lr_extended,strength_up,wrc,1,6.923117635678031,1.0
lr_extended,strength_up,ops,1,0.03945844725349901,1.0
lr_extended,weakness_up,war,3,0.46393452998742685,0.6666666666666666
lr_extended,weakness_up,wrc,3,9.300647016338058,1.0
lr_extended,weakness_up,ops,3,0.039216040282194366,1.0
lr_extended,decliner,war,1,0.6518644512710203,0.0
lr_extended,decliner,wrc,1,6.914813383856266,1.0
lr_extended,decliner,ops,1,0.0210223143866812,1.0
lr_extended,baseline,war,1,0.24462384304117268,1.0
lr_extended,baseline,wrc,1,4.442141970698508,1.0
lr_extended,baseline,ops,1,0.01200284489869069,1.0
knn_k10,elite,war,1,1.6800000000000006,1.0
knn_k10,elite,wrc,1,3.0,1.0
knn_k10,elite,ops,1,0.030599999999999905,1.0
knn_k10,strength_up,war,1,0.020000000000000018,1.0
knn_k10,strength_up,wrc,1,3.0999999999999943,1.0
knn_k10,strength_up,ops,1,0.0004999999999999033,1.0
knn_k10,weakness_up,war,3,0.0766666666666669,1.0
knn_k10,weakness_up,wrc,3,4.466666666666664,1.0
knn_k10,weakness_up,ops,3,0.005033333333333269,1.0
knn_k10,decliner,war,1,0.0400000000000003,1.0
knn_k10,decliner,wrc,1,7.099999999999994,1.0
knn_k10,decliner,ops,1,0.009499999999999897,1.0
knn_k10,baseline,war,1,0.6800000000000002,1.0
knn_k10,baseline,wrc,1,7.099999999999994,1.0
knn_k10,baseline,ops,1,0.03309999999999991,1.0
