model,target,n,mae,sign_accuracy
agent_b,war,5,0.9,1.0
agent_b,wrc,5,17.28,1.0
agent_b,ops,5,0.056399999999999964,1.0
agent_c,war,5,0.44000000000000006,0.8
agent_c,wrc,5,9.8,1.0
agent_c,ops,5,0.027799999999999957,1.0
agent_d,war,5,0.5680595363798815,0.8
agent_d,wrc,5,7.9716081287165155,1.0
agent_d,ops,5,0.027990239772731223,1.0
lr_basic,war,5,0.5723031342232842,0.8
lr_basic,wrc,5,7.075011298649895,1.0
lr_basic,ops,5,0.028009694399032982,1.0
lr_extended,war,5,0.5663713340129065,0.8
lr_extended,wrc,5,8.029074242731536,1.0
lr_extended,ops,5,0.028168091907182818,1.0
knn_k10,war,5,0.5180000000000002,1.0
knn_k10,wrc,5,4.6999999999999975,1.0
knn_k10,ops,5,0.015759999999999923,1.0
