pilot_id,arm,subject,identity_leak,invalid_comparable_format_count,comparable_count
pilot_v2_001,agent_b,Kyle Tucker,False,0,0
pilot_v2_002,agent_b,Mookie Betts,False,0,0
pilot_v2_003,agent_b,Yandy Diaz,False,0,0
pilot_v2_004,agent_b,Nico Hoerner,False,0,0
pilot_v2_005,agent_b,Masataka Yoshida,False,0,0
pilot_v2_006,agent_b,Zach Neto,False,0,0
pilot_v2_001,agent_c,Kyle Tucker,False,0,0
pilot_v2_002,agent_c,Mookie Betts,False,0,0
pilot_v2_003,agent_c,Yandy Diaz,False,0,0
pilot_v2_004,agent_c,Nico Hoerner,False,0,0
pilot_v2_005,agent_c,Masataka Yoshida,False,0,0
pilot_v2_006,agent_c,Zach Neto,False,0,0
pilot_v2_001,agent_d,Kyle Tucker,False,0,10
pilot_v2_002,agent_d,Mookie Betts,False,0,10
pilot_v2_003,agent_d,Yandy Diaz,False,0,10
pilot_v2_004,agent_d,Nico Hoerner,False,0,10
pilot_v2_005,agent_d,Masataka Yoshida,False,0,10
pilot_v2_006,agent_d,Zach Neto,False,0,10
pilot_v2_001,agent_d_v21,Kyle Tucker,False,0,10
pilot_v2_002,agent_d_v21,Mookie Betts,False,0,10
pilot_v2_003,agent_d_v21,Yandy Diaz,False,0,10
pilot_v2_004,agent_d_v21,Nico Hoerner,False,0,10
pilot_v2_005,agent_d_v21,Masataka Yoshida,False,0,10
pilot_v2_006,agent_d_v21,Zach Neto,False,0,10
