model,record_id,stratum,jaccard_at_10,overlap_n,pred_comparables,ref_comparables
agent_d,Kyle Tucker__2024_2025,elite,0.0,0,"['Elehuris Montero (2023)', 'Eric Haase (2023)', 'Francisco Mejia (2022)', 'Harold Castro (2023)', 'Korey Lee (2024)', 'Martin Maldonado (2023)', 'Nick Gordon (2024)', 'Robinson Chirinos (2022)', 'Salvador Perez (2023)', 'Tim Anderson (2024)']","['Darin Ruf (2021)', 'Juan Soto (2023)', 'Lars Nootbaar (2022)', 'Lars Nootbaar (2023)', 'Lars Nootbaar (2024)', 'Max Muncy (2021)', 'Mookie Betts (2021)', 'Mookie Betts (2023)', 'Mookie Betts (2024)', 'Taylor Ward (2022)']"
agent_d,Mookie Betts__2024_2025,elite,0.0,0,"['Elehuris Montero (2023)', 'Eric Haase (2023)', 'Francisco Mejia (2022)', 'Harold Castro (2023)', 'Korey Lee (2024)', 'Martin Maldonado (2023)', 'Nick Gordon (2024)', 'Robinson Chirinos (2022)', 'Salvador Perez (2023)', 'Tim Anderson (2024)']","['Alex Bregman (2021)', 'Brandon Nimmo (2021)', 'Brandon Nimmo (2022)', 'J.P. Crawford (2023)', 'Jonathan India (2024)', 'Jose Altuve (2022)', 'Kyle Tucker (2024)', 'Lars Nootbaar (2023)', 'Lars Nootbaar (2024)', 'Michael Brantley (2022)']"
agent_d,Yandy Diaz__2024_2025,strength_up,0.0,0,"['Elehuris Montero (2023)', 'Harold Castro (2023)', 'Korey Lee (2024)', 'Martin Maldonado (2023)', 'Nick Castellanos (2022)', 'Nick Gordon (2024)', 'Noelvi Marte (2024)', 'Robinson Chirinos (2022)', 'Salvador Perez (2023)', 'Tim Anderson (2024)']","['Carlos Correa (2022)', 'Gleyber Torres (2023)', 'Jesse Winker (2021)', 'Jose Abreu (2022)', 'Josh Bell (2022)', 'Jurickson Profar (2024)', 'Justin Turner (2022)', 'Seiya Suzuki (2023)', 'Vinnie Pasquantino (2022)', 'Wilmer Flores (2023)']"
agent_d,Nico Hoerner__2024_2025,strength_up,0.0,0,"['Dominic Smith (2021)', 'Elehuris Montero (2023)', 'Eric Haase (2023)', 'Francisco Mejia (2022)', 'Harold Castro (2023)', 'Martin Maldonado (2023)', 'Nick Gordon (2024)', 'Robinson Chirinos (2022)', 'Salvador Perez (2023)', 'Tim Anderson (2024)']","['Brice Turang (2024)', 'Bryson Stott (2023)', 'David Fletcher (2021)', 'Elvis Andrus (2021)', 'Isiah Kiner-Falefa (2022)', 'Jake McCarthy (2024)', 'Kevin Newman (2021)', 'Raimel Tapia (2021)', 'Santiago Espinal (2021)', 'Wander Franco (2022)']"
agent_d,Masataka Yoshida__2024_2025,decliner,0.0,0,"['Elehuris Montero (2023)', 'Eric Haase (2023)', 'Harold Castro (2023)', 'Korey Lee (2024)', 'Martin Maldonado (2023)', 'Nick Gordon (2024)', 'Noelvi Marte (2024)', 'Robinson Chirinos (2022)', 'Salvador Perez (2023)', 'Tim Anderson (2024)']","['Alec Bohm (2023)', 'Alex Verdugo (2022)', 'Eric Hosmer (2022)', 'Justin Turner (2022)', 'Justin Turner (2023)', 'Lourdes Gurriel Jr. (2022)', 'Pavin Smith (2021)', 'Vinnie Pasquantino (2023)', 'Willie Calhoun (2021)', 'Wilmer Flores (2023)']"
agent_d,Zach Neto__2024_2025,decliner,0.0,0,"['Dominic Smith (2021)', 'Elehuris Montero (2023)', 'Harold Castro (2023)', 'Korey Lee (2024)', 'Martin Maldonado (2023)', 'Nick Castellanos (2022)', 'Nick Gordon (2024)', 'Robinson Chirinos (2022)', 'Salvador Perez (2023)', 'Tim Anderson (2024)']","['Chas McCormick (2023)', 'J.T. Realmuto (2023)', 'Jonathan Villar (2021)', 'Joshua Palacios (2023)', 'Paul Goldschmidt (2024)', 'Ramon Laureano (2021)', 'Ramon Laureano (2022)', 'Stone Garrett (2023)', 'Tyrone Taylor (2021)', 'Tyrone Taylor (2022)']"
agent_d_v21,Kyle Tucker__2024_2025,elite,1.0,10,"['Darin Ruf (2021)', 'Juan Soto (2023)', 'Lars Nootbaar (2022)', 'Lars Nootbaar (2023)', 'Lars Nootbaar (2024)', 'Max Muncy (2021)', 'Mookie Betts (2021)', 'Mookie Betts (2023)', 'Mookie Betts (2024)', 'Taylor Ward (2022)']","['Darin Ruf (2021)', 'Juan Soto (2023)', 'Lars Nootbaar (2022)', 'Lars Nootbaar (2023)', 'Lars Nootbaar (2024)', 'Max Muncy (2021)', 'Mookie Betts (2021)', 'Mookie Betts (2023)', 'Mookie Betts (2024)', 'Taylor Ward (2022)']"
agent_d_v21,Mookie Betts__2024_2025,elite,1.0,10,"['Alex Bregman (2021)', 'Brandon Nimmo (2021)', 'Brandon Nimmo (2022)', 'J.P. Crawford (2023)', 'Jonathan India (2024)', 'Jose Altuve (2022)', 'Kyle Tucker (2024)', 'Lars Nootbaar (2023)', 'Lars Nootbaar (2024)', 'Michael Brantley (2022)']","['Alex Bregman (2021)', 'Brandon Nimmo (2021)', 'Brandon Nimmo (2022)', 'J.P. Crawford (2023)', 'Jonathan India (2024)', 'Jose Altuve (2022)', 'Kyle Tucker (2024)', 'Lars Nootbaar (2023)', 'Lars Nootbaar (2024)', 'Michael Brantley (2022)']"
agent_d_v21,Yandy Diaz__2024_2025,strength_up,1.0,10,"['Carlos Correa (2022)', 'Gleyber Torres (2023)', 'Jesse Winker (2021)', 'Jose Abreu (2022)', 'Josh Bell (2022)', 'Jurickson Profar (2024)', 'Justin Turner (2022)', 'Seiya Suzuki (2023)', 'Vinnie Pasquantino (2022)', 'Wilmer Flores (2023)']","['Carlos Correa (2022)', 'Gleyber Torres (2023)', 'Jesse Winker (2021)', 'Jose Abreu (2022)', 'Josh Bell (2022)', 'Jurickson Profar (2024)', 'Justin Turner (2022)', 'Seiya Suzuki (2023)', 'Vinnie Pasquantino (2022)', 'Wilmer Flores (2023)']"
agent_d_v21,Nico Hoerner__2024_2025,strength_up,1.0,10,"['Brice Turang (2024)', 'Bryson Stott (2023)', 'David Fletcher (2021)', 'Elvis Andrus (2021)', 'Isiah Kiner-Falefa (2022)', 'Jake McCarthy (2024)', 'Kevin Newman (2021)', 'Raimel Tapia (2021)', 'Santiago Espinal (2021)', 'Wander Franco (2022)']","['Brice Turang (2024)', 'Bryson Stott (2023)', 'David Fletcher (2021)', 'Elvis Andrus (2021)', 'Isiah Kiner-Falefa (2022)', 'Jake McCarthy (2024)', 'Kevin Newman (2021)', 'Raimel Tapia (2021)', 'Santiago Espinal (2021)', 'Wander Franco (2022)']"
