pilot_id,record_id,selection_stratum,arm,target,actual,predicted,absolute_error,sign_correct
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_b,war,0.2999999999999998,-0.9,1.1999999999999997,False
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_b,wrc,-43.0,-12.0,31.0,True
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_b,ops,-0.152,-0.044,0.108,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_b,war,-0.8999999999999999,-0.7,0.19999999999999996,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_b,wrc,-36.0,-11.0,25.0,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_b,ops,-0.131,-0.039,0.092,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_b,war,1.0,0.3,0.7,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_b,wrc,15.0,4.0,11.0,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_b,ops,0.0929999999999999,0.014,0.0789999999999999,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_b,war,1.0,0.5,0.5,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_b,wrc,7.0,3.0,4.0,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_b,ops,0.031,0.008,0.023,True
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_b,war,-1.0,0.5,1.5,False
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_b,wrc,-28.0,-1.0,27.0,True
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_b,ops,-0.069,-0.003,0.066,True
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_b,war,-0.3999999999999999,0.2,0.5999999999999999,False
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_b,wrc,1.0,4.0,3.0,True
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_b,ops,0.032,0.016,0.016,True
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_c,war,0.2999999999999998,-1.4,1.6999999999999997,False
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_c,wrc,-43.0,-15.0,28.0,True
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_c,ops,-0.152,-0.052,0.1,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_c,war,-0.8999999999999999,-1.2,0.30000000000000004,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_c,wrc,-36.0,-16.0,20.0,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_c,ops,-0.131,-0.056,0.07500000000000001,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_c,war,1.0,0.2,0.8,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_c,wrc,15.0,4.0,11.0,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_c,ops,0.0929999999999999,0.014,0.0789999999999999,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_c,war,1.0,0.5,0.5,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_c,wrc,7.0,2.0,5.0,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_c,ops,0.031,0.008,0.023,True
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_c,war,-1.0,0.3,1.3,False
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_c,wrc,-28.0,-1.0,27.0,True
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_c,ops,-0.069,-0.004,0.065,True
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_c,war,-0.3999999999999999,0.3,0.7,False
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_c,wrc,1.0,5.0,4.0,True
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_c,ops,0.032,0.018,0.014000000000000002,True
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_d,war,0.2999999999999998,-1.75,2.05,False
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_d,wrc,-43.0,-32.06,10.939999999999998,True
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_d,ops,-0.152,-0.131,0.02099999999999999,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_d,war,-0.8999999999999999,-1.399,0.4990000000000001,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_d,wrc,-36.0,-31.3,4.699999999999999,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_d,ops,-0.131,-0.124,0.007000000000000006,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_d,war,1.0,0.478,0.522,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_d,wrc,15.0,13.4,1.5999999999999996,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_d,ops,0.0929999999999999,0.046,0.0469999999999999,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_d,war,1.0,0.995,0.0050000000000000044,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_d,wrc,7.0,5.56,1.4400000000000004,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_d,ops,0.031,0.016,0.015,True
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_d,war,-1.0,0.373,1.373,False
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_d,wrc,-28.0,0.95,28.95,False
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_d,ops,-0.069,0.0,0.069,False
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_d,war,-0.3999999999999999,0.634,1.0339999999999998,False
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_d,wrc,1.0,12.02,11.02,True
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_d,ops,0.032,0.041,0.009000000000000001,True
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_d_v21,war,0.2999999999999998,-1.749743408612705,2.049743408612705,False
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_d_v21,wrc,-43.0,-32.05824275043872,10.941757249561277,True
pilot_v2_001,Kyle Tucker__2024_2025,elite,agent_d_v21,ops,-0.152,-0.13124693500900517,0.02075306499099483,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_d_v21,war,-0.8999999999999999,-1.3991292404892068,0.4991292404892069,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_d_v21,wrc,-36.0,-31.297407071673952,4.702592928326048,True
pilot_v2_002,Mookie Betts__2024_2025,elite,agent_d_v21,ops,-0.131,-0.12351816489490267,0.00748183510509734,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_d_v21,war,1.0,0.47826669168968705,0.521733308310313,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_d_v21,wrc,15.0,13.403969337139364,1.5960306628606364,True
pilot_v2_003,Yandy Diaz__2024_2025,strength_up,agent_d_v21,ops,0.0929999999999999,0.045661162639754976,0.047338837360244926,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_d_v21,war,1.0,0.9951537028266626,0.004846297173337399,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_d_v21,wrc,7.0,5.5616024128132455,1.4383975871867545,True
pilot_v2_004,Nico Hoerner__2024_2025,strength_up,agent_d_v21,ops,0.031,0.0159731336288486,0.015026866371151401,True
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_d_v21,war,-1.0,0.37264933194636085,1.3726493319463609,False
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_d_v21,wrc,-28.0,0.9523821041173163,28.952382104117316,False
pilot_v2_005,Masataka Yoshida__2024_2025,decliner,agent_d_v21,ops,-0.069,0.0001784615007035255,0.06917846150070353,False
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_d_v21,war,-0.3999999999999999,0.6341621324579005,1.0341621324579005,False
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_d_v21,wrc,1.0,12.015519813133446,11.015519813133446,True
pilot_v2_006,Zach Neto__2024_2025,decliner,agent_d_v21,ops,0.032,0.04089965000291843,0.008899650002918431,True
