model,stratum,target,n,mae,sign_accuracy
agent_b,elite,war,2,0.6999999999999998,0.5
agent_b,elite,wrc,2,28.0,1.0
agent_b,elite,ops,2,0.1,1.0
agent_b,strength_up,war,2,0.6,1.0
agent_b,strength_up,wrc,2,7.5,1.0
agent_b,strength_up,ops,2,0.05099999999999995,1.0
agent_b,weakness_up,war,4,0.8999999999999999,0.5
agent_b,weakness_up,wrc,4,23.5,1.0
agent_b,weakness_up,ops,4,0.08624999999999998,1.0
agent_b,decliner,war,2,1.0499999999999998,0.0
agent_b,decliner,wrc,2,15.0,1.0
agent_b,decliner,ops,2,0.041,1.0
agent_c,elite,war,2,0.9999999999999999,0.5
agent_c,elite,wrc,2,24.0,1.0
agent_c,elite,ops,2,0.08750000000000001,1.0
agent_c,strength_up,war,2,0.65,1.0
agent_c,strength_up,wrc,2,8.0,1.0
agent_c,strength_up,ops,2,0.05099999999999995,1.0
agent_c,weakness_up,war,4,1.025,0.5
agent_c,weakness_up,wrc,4,21.5,1.0
agent_c,weakness_up,ops,4,0.07974999999999997,1.0
agent_c,decliner,war,2,1.0,0.0
agent_c,decliner,wrc,2,15.5,1.0
agent_c,decliner,ops,2,0.0395,1.0
agent_d,elite,war,2,1.2745,0.5
agent_d,elite,wrc,2,7.8199999999999985,1.0
agent_d,elite,ops,2,0.013999999999999999,1.0
agent_d,strength_up,war,2,0.2635,1.0
agent_d,strength_up,wrc,2,1.52,1.0
agent_d,strength_up,ops,2,0.03099999999999995,1.0
agent_d,weakness_up,war,4,1.111,0.5
agent_d,weakness_up,wrc,4,11.5475,0.75
agent_d,weakness_up,ops,4,0.035999999999999976,0.75
agent_d,decliner,war,2,1.2035,0.0
agent_d,decliner,wrc,2,19.985,0.5
agent_d,decliner,ops,2,0.03900000000000001,0.5
agent_d_v21,elite,war,2,1.274436324550956,0.5
agent_d_v21,elite,wrc,2,7.822175088943663,1.0
agent_d_v21,elite,ops,2,0.014117450048046085,1.0
agent_d_v21,strength_up,war,2,0.2632898027418252,1.0
agent_d_v21,strength_up,wrc,2,1.5172141250236955,1.0
agent_d_v21,strength_up,ops,2,0.031182851865698163,1.0
agent_d_v21,weakness_up,war,4,1.1108138223396464,0.5
agent_d_v21,weakness_up,wrc,4,11.54819073621632,0.75
agent_d_v21,weakness_up,ops,4,0.03618804973926015,0.75
agent_d_v21,decliner,war,2,1.2034057322021305,0.0
agent_d_v21,decliner,wrc,2,19.983950958625382,0.5
agent_d_v21,decliner,ops,2,0.03903905575181098,0.5
lr_basic,elite,war,2,1.127398488771246,0.5
lr_basic,elite,wrc,2,9.357423014607631,1.0
lr_basic,elite,ops,2,0.021638681637814898,1.0
lr_basic,strength_up,war,2,0.35963829233524475,1.0
lr_basic,strength_up,wrc,2,2.839341501109245,1.0
lr_basic,strength_up,ops,2,0.03897803806439435,1.0
lr_basic,weakness_up,war,4,1.0921702505153954,0.5
lr_basic,weakness_up,wrc,4,12.76444499459139,1.0
lr_basic,weakness_up,ops,4,0.04160406301654372,1.0
lr_basic,decliner,war,2,1.2248569862474583,0.0
lr_basic,decliner,wrc,2,18.661091002274375,1.0
lr_basic,decliner,ops,2,0.03413019012225575,1.0
lr_extended,elite,war,2,1.2722980005234152,0.5
lr_extended,elite,wrc,2,7.847259629238929,1.0
lr_extended,elite,ops,2,0.014211128852903501,1.0
lr_extended,strength_up,war,2,0.2643867190746419,1.0
lr_extended,strength_up,wrc,2,1.5490604743654641,1.0
lr_extended,strength_up,ops,2,0.03135916707996245,1.0
lr_extended,weakness_up,war,4,1.1085535166009626,0.5
lr_extended,weakness_up,wrc,4,11.528550326127132,0.75
lr_extended,weakness_up,ops,4,0.0361208908532992,1.0
lr_extended,decliner,war,2,1.1986413478438105,0.0
lr_extended,decliner,wrc,2,19.88265117132908,0.5
lr_extended,decliner,ops,2,0.0386098835524691,1.0
knn_k10,elite,war,2,0.9749999999999999,0.5
knn_k10,elite,wrc,2,8.249999999999998,1.0
knn_k10,elite,ops,2,0.027850000000000104,1.0
knn_k10,strength_up,war,2,1.2550000000000001,0.5
knn_k10,strength_up,wrc,2,8.800000000000006,0.5
knn_k10,strength_up,ops,2,0.0257,0.5
knn_k10,weakness_up,war,4,1.15,0.5
knn_k10,weakness_up,wrc,4,10.350000000000001,1.0
knn_k10,weakness_up,ops,4,0.034350000000000075,1.0
knn_k10,decliner,war,2,1.7699999999999998,0.5
knn_k10,decliner,wrc,2,12.950000000000003,0.5
knn_k10,decliner,ops,2,0.046250000000000104,1.0
