model,target,n,mae,sign_accuracy
agent_b,war,6,0.7833333333333332,0.5
agent_b,wrc,6,16.833333333333332,1.0
agent_b,ops,6,0.06399999999999999,1.0
agent_c,war,6,0.8833333333333333,0.5
agent_c,wrc,6,15.833333333333334,1.0
agent_c,ops,6,0.05933333333333332,1.0
agent_d,war,6,0.9138333333333333,0.5
agent_d,wrc,6,9.774999999999999,0.8333333333333334
agent_d,ops,6,0.027999999999999987,0.8333333333333334
agent_d_v21,war,6,0.9137106198316373,0.5
agent_d_v21,wrc,6,9.77444672419758,0.8333333333333334
agent_d_v21,ops,6,0.02811311922185174,0.8333333333333334
lr_basic,war,6,0.9039645891179829,0.5
lr_basic,wrc,6,10.285951839330417,1.0
lr_basic,ops,6,0.031582303274821664,1.0
lr_extended,war,6,0.9117753558139556,0.5
lr_extended,wrc,6,9.75965709164449,0.8333333333333334
lr_extended,ops,6,0.028060059828445016,1.0
knn_k10,war,6,1.333333333333333,0.5
knn_k10,wrc,6,10.000000000000002,0.6666666666666666
knn_k10,ops,6,0.03326666666666673,0.8333333333333334
