tool,current_bin,n,mean,sd,p5,p25,p50,p75,p95
Power,<40,310,1.2387938491978716,4.468309059202031,-5.331326754534928,-2.0300497540344935,0.8144392143179324,4.261755609235349,8.993588487589653
Power,40-50,509,-0.48793742095128184,5.057173941226556,-8.524028505373984,-3.729785124175265,-0.8940911409820131,3.2125634811073525,7.605100490133814
Power,50-60,214,-3.3525170719904063,5.994631679160989,-12.491372028160798,-7.213590235151793,-4.087916029665731,0.23501374118639434,7.728646280237298
Power,60-70,31,-4.981959697351405,7.398684635312103,-14.514364704734525,-8.649565950966526,-6.26412284593885,-1.225224016839821,7.529596834788496
Power,70+,6,-1.9227449235101932,5.68527436839219,-7.496894503476275,-6.080582335353746,-3.5962642446715734,2.699543207040282,5.2942100520062185
Contact,<40,50,3.5989928103560644,5.447734338033672,-5.10915323249881,-0.4499058687604638,4.059037156157384,7.53312898931839,12.43448505233387
Contact,40-50,341,0.8958677706841122,4.721220656266991,-7.117271849886677,-2.2910329156410114,1.094061303732758,4.025607477732251,8.15971898872646
Contact,50-60,532,-1.0003557860767627,4.596230609348041,-8.522529978872697,-3.7677346076246074,-1.16812173273577,1.6675377012487456,6.699728615639011
Contact,60-70,140,-2.6075346389578584,4.063636343286086,-9.957598135594898,-5.084849009756127,-2.480941916369609,0.3311328144190533,3.498262544240575
Contact,70+,7,-4.336763581966561,8.436421197930446,-16.584673302825426,-3.2380629307275015,-2.916829422384126,-2.0649344891366823,3.132156051904784
Discipline,<40,380,1.5102901176986767,4.6124272734590726,-4.929033805394531,-1.8163933695901588,1.2074955055975778,4.332525400045659,10.084360465605045
Discipline,40-50,499,-0.1083293051702913,4.753154123013071,-8.31480611414815,-3.3425755275092577,-0.3667459088443152,3.167057358042978,7.436355640030117
Discipline,50-60,169,-3.499635671664132,5.039570828274698,-10.559841365347449,-7.036780395745559,-4.122250980061182,-0.2159585066846929,5.493219731101599
Discipline,60-70,18,-4.341248576925698,5.075976267413362,-11.857819603721648,-7.131898845729239,-4.5635920563858505,-1.2347419942902318,2.4757358685037385
Discipline,70+,4,-7.9774649895183884,7.101802073117947,-16.523037649786456,-10.274790113288205,-5.730025241457028,-3.4327001176872116,-2.578307976536225
Defense,<40,251,3.3899782328718264,5.400236348541733,-4.346227159824581,-0.018880124715380454,2.9121873191608643,6.104706283016331,13.017314306188167
Defense,40-50,602,-0.635248114542557,5.318310013838354,-9.196738896953761,-3.6647947758332933,-0.9312348605337242,2.4958002235484056,7.946361842948098
Defense,50-60,183,-3.3792424089340964,6.333122349867714,-13.388378191809046,-6.848142615926516,-3.912559489794482,0.47831529298794706,5.911431984599823
Defense,60-70,32,-6.831445460768389,7.58226744057225,-19.91032510602641,-12.305155758314811,-6.729094356442246,-1.425466130628525,3.110219748219569
Defense,70+,2,-8.390590512993086,8.120980920669128,-13.558751123995627,-11.261790852438942,-8.390590512993086,-5.5193901735472295,-3.222429901990545
Speed,<40,517,1.7355701251017932,4.9543114963593275,-5.761009469605762,-1.6457778979198423,1.653473813065176,4.808613187403999,9.392739656675577
Speed,40-50,382,-1.9510786793510095,6.560151645113501,-11.487976842918696,-6.676844141678556,-2.4669600803817886,1.5595110682617719,9.50542972823716
Speed,50-60,140,-4.203001747208051,6.387166122290002,-14.30066652148109,-8.145503292746977,-4.374786959718207,0.055608534168770846,6.322080672630605
Speed,60-70,27,-10.515259952376946,8.37650310287204,-23.06083080297417,-17.908664861605715,-9.348100868408151,-5.18384332860143,3.0764623349774673
Speed,70+,4,-23.115087803953493,9.443095572802584,-32.550130359167866,-27.01936923300299,-23.786253813094746,-19.881972384045252,-12.740412835941374
