record_id,stratum,jaccard_at_10,overlap_n,pred_comparables,ref_comparables
Aaron Judge__2024_2025,elite,1.0,10,"['Aaron Judge (2021)', 'Aaron Judge (2022)', 'Aaron Judge (2023)', 'Aaron Judge (2024)', 'Bryce Harper (2021)', 'Joey Votto (2021)', 'Matt Olson (2023)', 'Mike Trout (2022)', 'Yordan Alvarez (2022)', 'Yordan Alvarez (2023)']","['Aaron Judge (2021)', 'Aaron Judge (2022)', 'Aaron Judge (2023)', 'Aaron Judge (2024)', 'Bryce Harper (2021)', 'Joey Votto (2021)', 'Matt Olson (2023)', 'Mike Trout (2022)', 'Yordan Alvarez (2022)', 'Yordan Alvarez (2023)']"
Abraham Toro__2024_2025,weakness_up,1.0,10,"['Corey Dickerson (2021)', 'Jean Segura (2023)', 'Jeff McNeil (2024)', 'Jonah Heim (2024)', 'Manuel Margot (2023)', 'Miguel Amaya (2024)', 'Phil Gosselin (2021)', 'Will Brennan (2024)', 'Yan Gomes (2023)', 'Yermin Mercedes (2021)']","['Corey Dickerson (2021)', 'Jean Segura (2023)', 'Jeff McNeil (2024)', 'Jonah Heim (2024)', 'Manuel Margot (2023)', 'Miguel Amaya (2024)', 'Phil Gosselin (2021)', 'Will Brennan (2024)', 'Yan Gomes (2023)', 'Yermin Mercedes (2021)']"
Adam Frazier__2024_2025,weakness_up,1.0,10,"['Christian Vazquez (2021)', 'Dominic Fletcher (2024)', 'Jeff McNeil (2024)', 'Matt Duffy (2022)', 'Matt Duffy (2023)', 'Mauricio Dubon (2022)', 'Nick Allen (2023)', 'Ronald Torreyes (2021)', 'Yonathan Daza (2021)', 'Yonathan Daza (2022)']","['Christian Vazquez (2021)', 'Dominic Fletcher (2024)', 'Jeff McNeil (2024)', 'Matt Duffy (2022)', 'Matt Duffy (2023)', 'Mauricio Dubon (2022)', 'Nick Allen (2023)', 'Ronald Torreyes (2021)', 'Yonathan Daza (2021)', 'Yonathan Daza (2022)']"
Addison Barger__2024_2025,weakness_up,1.0,10,"['Austin Riley (2024)', 'C.J. Cron (2022)', 'Eugenio Suarez (2024)', 'Gleyber Torres (2022)', 'Jesus Sanchez (2023)', 'Jesus Sanchez (2024)', 'Jordan Westburg (2024)', 'Royce Lewis (2023)', 'Teoscar Hernandez (2021)', 'Willson Contreras (2022)']","['Austin Riley (2024)', 'C.J. Cron (2022)', 'Eugenio Suarez (2024)', 'Gleyber Torres (2022)', 'Jesus Sanchez (2023)', 'Jesus Sanchez (2024)', 'Jordan Westburg (2024)', 'Royce Lewis (2023)', 'Teoscar Hernandez (2021)', 'Willson Contreras (2022)']"
Adley Rutschman__2024_2025,decliner,1.0,10,"['Austin Barnes (2022)', 'Brandon Nimmo (2021)', 'Carson Kelly (2021)', 'Connor Joe (2021)', 'Connor Joe (2023)', 'Gabriel Moreno (2024)', 'Jonah Bride (2024)', 'Jurickson Profar (2022)', 'Luis Urias (2022)', 'Nathaniel Lowe (2024)']","['Austin Barnes (2022)', 'Brandon Nimmo (2021)', 'Carson Kelly (2021)', 'Connor Joe (2021)', 'Connor Joe (2023)', 'Gabriel Moreno (2024)', 'Jonah Bride (2024)', 'Jurickson Profar (2022)', 'Luis Urias (2022)', 'Nathaniel Lowe (2024)']"
Adolis Garcia__2024_2025,weakness_up,1.0,10,"['Adam Duvall (2022)', 'Brandon Lowe (2024)', 'James McCann (2023)', 'Kevin Pillar (2023)', 'Liover Peguero (2023)', 'Ramon Laureano (2024)', 'Ryan Mountcastle (2022)', 'Stone Garrett (2023)', 'Tyler Naquin (2022)', 'Tyrone Taylor (2022)']","['Adam Duvall (2022)', 'Brandon Lowe (2024)', 'James McCann (2023)', 'Kevin Pillar (2023)', 'Liover Peguero (2023)', 'Ramon Laureano (2024)', 'Ryan Mountcastle (2022)', 'Stone Garrett (2023)', 'Tyler Naquin (2022)', 'Tyrone Taylor (2022)']"
Alec Bohm__2024_2025,strength_up,1.0,10,"['Alec Bohm (2022)', 'Alec Bohm (2023)', 'Andy Ibanez (2021)', 'Donovan Solano (2021)', 'Gio Urshela (2022)', 'Keibert Ruiz (2022)', 'Luis Garcia Jr. (2023)', 'Matt Vierling (2023)', 'Nolan Arenado (2023)', 'Vinnie Pasquantino (2024)']","['Alec Bohm (2022)', 'Alec Bohm (2023)', 'Andy Ibanez (2021)', 'Donovan Solano (2021)', 'Gio Urshela (2022)', 'Keibert Ruiz (2022)', 'Luis Garcia Jr. (2023)', 'Matt Vierling (2023)', 'Nolan Arenado (2023)', 'Vinnie Pasquantino (2024)']"
Alec Burleson__2024_2025,strength_up,1.0,10,"['Alec Bohm (2022)', 'Alec Burleson (2023)', 'Jose Abreu (2022)', 'Ketel Marte (2021)', 'Masataka Yoshida (2023)', 'Randal Grichuk (2024)', 'Ty France (2021)', 'Ty France (2022)', 'Vinnie Pasquantino (2024)', 'Xander Bogaerts (2021)']","['Alec Bohm (2022)', 'Alec Burleson (2023)', 'Jose Abreu (2022)', 'Ketel Marte (2021)', 'Masataka Yoshida (2023)', 'Randal Grichuk (2024)', 'Ty France (2021)', 'Ty France (2022)', 'Vinnie Pasquantino (2024)', 'Xander Bogaerts (2021)']"
Alejandro Kirk__2024_2025,strength_up,1.0,10,"['Adley Rutschman (2023)', 'Alejandro Kirk (2024)', 'Alex Bregman (2024)', 'Buster Posey (2021)', 'Carlos Correa (2021)', 'Jacob Stallings (2021)', 'Nolan Arenado (2022)', 'Sean Murphy (2022)', 'Sean Murphy (2023)', 'William Contreras (2023)']","['Adley Rutschman (2023)', 'Alejandro Kirk (2024)', 'Alex Bregman (2024)', 'Buster Posey (2021)', 'Carlos Correa (2021)', 'Jacob Stallings (2021)', 'Nolan Arenado (2022)', 'Sean Murphy (2022)', 'Sean Murphy (2023)', 'William Contreras (2023)']"
Alex Bregman__2024_2025,decliner,1.0,10,"['Alex Bregman (2021)', 'Brandon Nimmo (2021)', 'Connor Joe (2021)', 'DJ LeMahieu (2022)', 'Gabriel Moreno (2024)', 'Justin Turner (2021)', 'Mookie Betts (2021)', 'Nathaniel Lowe (2024)', 'Vinnie Pasquantino (2022)', 'Will Smith (2022)']","['Alex Bregman (2021)', 'Brandon Nimmo (2021)', 'Connor Joe (2021)', 'DJ LeMahieu (2022)', 'Gabriel Moreno (2024)', 'Justin Turner (2021)', 'Mookie Betts (2021)', 'Nathaniel Lowe (2024)', 'Vinnie Pasquantino (2022)', 'Will Smith (2022)']"
Alex Verdugo__2024_2025,weakness_up,1.0,10,"['Abraham Toro (2021)', 'Andrew Benintendi (2022)', 'Anthony Rendon (2021)', 'Austin Nola (2022)', 'Charlie Blackmon (2023)', 'Charlie Blackmon (2024)', 'Joe Panik (2021)', 'Luis Matos (2023)', 'Santiago Espinal (2023)', 'Vimael Machin (2022)']","['Abraham Toro (2021)', 'Andrew Benintendi (2022)', 'Anthony Rendon (2021)', 'Austin Nola (2022)', 'Charlie Blackmon (2023)', 'Charlie Blackmon (2024)', 'Joe Panik (2021)', 'Luis Matos (2023)', 'Santiago Espinal (2023)', 'Vimael Machin (2022)']"
Andres Gimenez__2024_2025,weakness_up,1.0,10,"['Albert Almora Jr. (2022)', 'Elvis Andrus (2023)', 'Garrett Hampson (2024)', 'Joey Wendle (2021)', 'Jonny DeLuca (2024)', ""Ke'Bryan Hayes (2024)"", 'Kevin Kiermaier (2023)', 'Nick Allen (2022)', 'Nick Fortes (2023)', 'Owen Miller (2023)']","['Albert Almora Jr. (2022)', 'Elvis Andrus (2023)', 'Garrett Hampson (2024)', 'Joey Wendle (2021)', 'Jonny DeLuca (2024)', ""Ke'Bryan Hayes (2024)"", 'Kevin Kiermaier (2023)', 'Nick Allen (2022)', 'Nick Fortes (2023)', 'Owen Miller (2023)']"
Andrew Benintendi__2024_2025,weakness_up,1.0,10,"['Alex Kirilloff (2023)', 'Andrew Benintendi (2024)', 'Enmanuel Valdez (2024)', 'Enrique Hernandez (2023)', 'Jordan Walker (2023)', 'Luis Campusano (2024)', 'Luis Rengifo (2023)', 'Luis Torrens (2021)', 'Ramon Urias (2024)', 'Yadiel Hernandez (2021)']","['Alex Kirilloff (2023)', 'Andrew Benintendi (2024)', 'Enmanuel Valdez (2024)', 'Enrique Hernandez (2023)', 'Jordan Walker (2023)', 'Luis Campusano (2024)', 'Luis Rengifo (2023)', 'Luis Torrens (2021)', 'Ramon Urias (2024)', 'Yadiel Hernandez (2021)']"
