model,stratum,target,n,mae,sign_accuracy
lr_basic,elite,war,21,0.8206204333847741,0.9523809523809523
lr_basic,elite,wrc,21,8.607457104307619,1.0
lr_basic,elite,ops,21,0.04080759325885791,1.0
lr_basic,strength_up,war,16,0.514059196751021,0.9375
lr_basic,strength_up,wrc,16,7.692203577293691,0.875
lr_basic,strength_up,ops,16,0.04221757621227236,0.875
lr_basic,weakness_up,war,220,0.6866524627719237,0.8590909090909091
lr_basic,weakness_up,wrc,220,9.521896126438627,0.8727272727272727
lr_basic,weakness_up,ops,220,0.034780946188955414,0.8818181818181818
lr_basic,decliner,war,28,0.7513790861220969,0.5357142857142857
lr_basic,decliner,wrc,28,7.896978393002968,0.8928571428571429
lr_basic,decliner,ops,28,0.026499271750693477,0.8928571428571429
lr_basic,baseline,war,30,0.6748148754902451,0.8666666666666667
lr_basic,baseline,wrc,30,9.518748948049769,0.8666666666666667
lr_basic,baseline,ops,30,0.03862130968021624,0.8666666666666667
lr_extended,elite,war,21,0.8097297404228928,0.9523809523809523
lr_extended,elite,wrc,21,8.78446264182503,0.9523809523809523
lr_extended,elite,ops,21,0.04486470020503385,0.9523809523809523
lr_extended,strength_up,war,16,0.47567618172628345,0.9375
lr_extended,strength_up,wrc,16,7.351121542296184,0.8125
lr_extended,strength_up,ops,16,0.03947996679440673,0.875
lr_extended,weakness_up,war,220,0.6410385948509714,0.8636363636363636
lr_extended,weakness_up,wrc,220,9.441621643073942,0.8590909090909091
lr_extended,weakness_up,ops,220,0.0344490491861563,0.8863636363636364
lr_extended,decliner,war,28,0.6915636937977799,0.5714285714285714
lr_extended,decliner,wrc,28,8.241738897867682,0.8571428571428571
lr_extended,decliner,ops,28,0.026153590691040268,0.9285714285714286
lr_extended,baseline,war,30,0.6149769413260665,0.8
lr_extended,baseline,wrc,30,9.588203009875482,0.8666666666666667
lr_extended,baseline,ops,30,0.03852853003490791,0.9
knn_k10,elite,war,21,1.0776190476190475,0.9523809523809523
knn_k10,elite,wrc,21,5.342857142857144,0.9523809523809523
knn_k10,elite,ops,21,0.027080952380952338,0.9523809523809523
knn_k10,strength_up,war,16,0.9368750000000001,0.75
knn_k10,strength_up,wrc,16,10.500000000000004,0.6875
knn_k10,strength_up,ops,16,0.03726249999999997,0.8125
knn_k10,weakness_up,war,220,0.7445909090909091,0.85
knn_k10,weakness_up,wrc,220,9.549545454545452,0.8409090909090909
knn_k10,weakness_up,ops,220,0.03409363636363636,0.8772727272727273
knn_k10,decliner,war,28,0.7342857142857143,0.75
knn_k10,decliner,wrc,28,9.921428571428569,0.6428571428571429
knn_k10,decliner,ops,28,0.035753571428571405,0.6785714285714286
knn_k10,baseline,war,30,0.8176666666666664,0.9
knn_k10,baseline,wrc,30,11.8,0.8666666666666667
knn_k10,baseline,ops,30,0.038873333333333315,0.7333333333333333
