record_id,player_id,player_name,season_t,season_t1,pentagon_area_t,pentagon_area_t1,delta_area,war_t,wrc_t,ops_t,delta_war,delta_wrc,delta_ops,vec_t_power,vec_t_contact,vec_t_discipline,vec_t_defense,vec_t_speed,delta_vec_power,delta_vec_contact,delta_vec_discipline,delta_vec_defense,delta_vec_speed,is_elite,is_strength_up,is_weakness_up,is_decliner,stratum
Trea Turner__2021_2022,Trea Turner,Trea Turner,2021,2022,6717.832693532323,5889.901893301747,-827.9308002305761,7.1,143,0.911,-0.7999999999999998,-15,-0.1019999999999999,49.17343200499132,63.55818760633483,39.40405479434854,49.10352276161188,66.77447629919808,-2.398925948787486,-6.333716575581704,-1.824836446098999,-2.1516025028832004,-4.950877591923465,True,False,False,False,elite
Juan Soto__2021_2022,Juan Soto,Juan Soto,2021,2022,7639.303530407557,5981.192757764959,-1658.110772642598,6.8,164,0.999,-3.1,-18,-0.146,57.71272698374173,66.39865038740825,80.0,44.26214903492213,33.14509573048857,-4.612395745984735,-6.630278849504002,-3.7886968431667896,-17.827530086622808,2.4950084947600857,True,False,True,False,elite
Bryce Harper__2021_2022,Bryce Harper,Bryce Harper,2021,2022,6008.649136305459,5208.337586034995,-800.3115502704641,6.6,170,1.044,-4.0,-31,-0.167,62.59028254529977,54.44406770694315,53.784231147694,40.49349240460997,39.98613666143103,-6.8506638057302,-0.5124128708329323,-13.492995091301474,-0.0022722563669361,3.058237364494474,True,False,True,False,elite
Jose Ramirez__2021_2022,Jose Ramirez,Jose Ramirez,2021,2022,7568.035611896392,6459.921448163212,-1108.1141637331802,6.4,140,0.893,-0.5,0,-0.024,51.770547272160506,63.690377575079005,53.39955777249021,51.23352692593079,62.91824653324135,-3.1466129472664264,0.0989136832817436,-2.7952566705140214,-4.895648090694401,-11.211862656623689,True,True,False,False,elite
Vladimir Guerrero Jr.__2021_2022,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,2021,2022,5950.446319258977,5088.150611555375,-862.2957077036026,6.3,166,1.002,-3.0,-34,-0.184,64.1911837105101,60.25342236072228,51.133042986606696,35.24709384735986,37.83621993524834,-6.480551521826484,-2.068365687699142,-8.57266198628534,1.63812124648841,-2.994596116497945,True,False,True,False,elite
Bryan Reynolds__2021_2022,Bryan Reynolds,Bryan Reynolds,2021,2022,6198.751430406913,4503.803387827646,-1694.9480425792672,6.3,140,0.912,-3.4,-17,-0.1049999999999999,48.93717633941213,59.67281453671621,47.92777155378673,53.40869374226755,45.87915649042896,1.6305876713798568,-8.773883150959925,-6.599563356406136,-17.390698332352912,-7.7066870185104435,True,False,False,False,elite
Carlos Correa__2021_2022,Carlos Correa,Carlos Correa,2021,2022,6331.505618492805,5087.667385110236,-1243.8382333825691,6.3,133,0.85,-1.7000000000000002,6,-0.016,49.95222353195653,60.27245274627805,52.174318724596766,58.57619858764778,37.80657115964652,0.9725709283319616,-1.3480911335264452,-3.906806277672892,-14.852102594515436,-8.81855653275976,True,False,False,False,elite
Brandon Crawford__2021_2022,Brandon Crawford,Brandon Crawford,2021,2022,5578.600451768902,4646.839412236455,-931.7610395324464,6.2,140,0.895,-4.2,-53,-0.243,48.06717904531523,52.84969374040321,42.708830412395855,60.43148051592514,40.11969497290878,-9.745193597698131,-8.078489111305274,0.0666174982204736,-6.813121937637682,1.7288880480326796,False,False,True,False,weakness_up
Cedric Mullins__2021_2022,Cedric Mullins,Cedric Mullins,2021,2022,6087.715246909326,5331.416056252065,-756.2991906572615,6.0,136,0.878,-2.3,-29,-0.157,46.922413113516654,60.40422289961885,44.89241960805749,49.07054096654673,52.6403874101493,-6.289106527543737,-5.301438699708115,-5.33364239230621,2.3924572797183288,-0.9885344111405914,True,False,False,False,elite
Marcus Semien__2021_2022,Marcus Semien,Marcus Semien,2021,2022,6102.0649641624495,6032.271450848792,-69.79351331365797,5.9,131,0.873,-1.5,-24,-0.14,50.2726739950031,55.797543719069374,46.730068982675625,48.41234410284413,52.26076588961172,-7.695936129541394,0.1874440101259793,-2.296688397105996,2.6050140362195577,7.008752661094448,True,False,False,False,elite
