Name,Season_From,Season_To,PA_From,PA_To,Contact_From,Contact_To,D_Contact,Power_From,Power_To,D_Power,Speed_From,Speed_To,D_Speed,Defense_From,Defense_To,D_Defense,Discipline_From,Discipline_To,D_Discipline,WAR_From,WAR_To,D_WAR,wRC+_From,wRC+_To,D_wRC+,OPS_From,OPS_To,D_OPS,Area_From,Area_To,D_Area
AJ Pollock,2021,2022,422,527,58.62264335162274,54.85953598270348,-3.7631073689192647,60.93708196524821,51.89421586893789,-9.04286609631032,54.28168417222338,43.5107903590532,-10.770893813170176,48.38297939521886,47.57786565175766,-0.8051137434611988,41.63971375135128,41.144330603303786,-0.4953831480474946,3.154262753222948,0.5848832300198332,-2.569379523203115,136.86262914607624,92.1105208593312,-44.75210828674504,0.891908569,0.68076817,-0.21114039900000003,6639.350918418724,5416.133620789271,-1223.2172976294532
AJ Pollock,2022,2023,527,144,54.85953598270348,42.052057297952814,-12.807478684750663,51.89421586893789,47.3592236501212,-4.53499221881669,43.5107903590532,44.88517576297916,1.374385403925956,47.57786565175766,50.30870872985981,2.730843078102147,41.144330603303786,42.656126160416925,1.511795557113139,0.5848832300198332,-0.7429276421672104,-1.3278108721870436,92.1105208593312,45.65094299019344,-46.45957786913776,0.68076817,0.523548453,-0.15721971700000004,5416.133620789271,4905.144163991061,-510.9894567982101
Aaron Hicks,2021,2022,126,453,47.403838227167086,47.15945433243502,-0.24438389473206712,48.41898726885229,42.76480133633479,-5.6541859325175,44.503607727338,57.42042914790953,12.91682142057153,49.486120260129454,50.27133748146032,0.7852172213308677,58.10078130600876,68.35031899367762,10.249537687668855,0.0294259073308935,0.876531482773464,0.8471055754425706,77.13876655875539,88.99218314780414,11.853416589048749,0.626984126,0.642146017,0.015161890999999983,5840.323287555481,6666.128886979641,825.8055994241595
Aaron Hicks,2022,2023,453,312,47.15945433243502,50.23316018157214,3.07370584913712,42.76480133633479,39.629920928077134,-3.134880408257658,57.42042914790953,58.82660756388542,1.4061784159758872,50.27133748146032,42.30343818631387,-7.967899295146452,68.35031899367762,65.65241517361319,-2.6979038200644254,0.876531482773464,0.8871616058481563,0.010630123074692244,88.99218314780414,108.5193133712994,19.527130223495263,0.642146017,0.73546373,0.09331771300000002,6666.128886979641,6127.585283966728,-538.5436030129131
Aaron Judge,2021,2022,633,696,57.56962780141522,60.01427549089689,2.4446476894816698,78.22032009062312,80.0,1.7796799093768811,48.5757215486698,56.94664080891349,8.370919260243696,46.81570399071232,53.63672947982537,6.8210254891130475,60.36493131853515,70.28250506563037,9.917573747095226,5.484160811914226,11.071471512023166,5.58731070010894,149.9826024255484,206.15483678377265,56.172234358224244,0.916464167,1.110820403,0.19435623599999996,8025.986478008781,9700.29247564464,1674.3059976358581
Aaron Judge,2022,2023,696,458,60.01427549089689,47.521642861975366,-12.492632628921527,80.0,80.0,0.0,56.94664080891349,43.13421711366742,-13.812423695246075,53.63672947982537,46.62572323988849,-7.011006239936883,70.28250506563037,74.05152852539658,3.7690234597662027,11.071471512023166,4.746401160254562,-6.325070351768604,206.15483678377265,173.46589456336747,-32.68894222040518,1.110820403,1.019192556,-0.09162784700000004,9700.29247564464,7720.38636271855,-1979.906112926089
Aaron Judge,2023,2024,458,704,47.521642861975366,60.73253993236168,13.210897070386316,80.0,80.0,0.0,43.13421711366742,53.94246751068602,10.808250397018604,46.62572323988849,37.18191742127637,-9.44380581861212,74.05152852539658,80.0,5.948471474603423,4.746401160254562,11.326987222021891,6.580586061767329,173.46589456336747,219.7835722854021,46.31767772203463,1.019192556,1.15928922,0.1400966640000001,7720.38636271855,9041.143427663766,1320.7570649452164
Aaron Judge,2024,2025,704,679,60.73253993236168,58.12773704676631,-2.604802885595369,80.0,80.0,0.0,53.94246751068602,42.87642086433032,-11.066046646355701,37.18191742127637,54.7325989106232,17.550681489346836,80.0,72.889571000025,-7.110428999974999,11.326987222021891,10.123553063479156,-1.203434158542736,219.7835722854021,204.45786957330023,-15.325702712101872,1.15928922,1.144169281,-0.015119939000000082,9041.143427663766,8870.224540470055,-170.91888719371127
Abraham Toro,2021,2022,375,352,59.70856869108749,50.123175025892,-9.58539366519549,43.5803991140407,43.297717508464224,-0.28268160557647803,44.33179657552431,46.782319639770144,2.4505230642458358,41.98931393553888,49.64531237270186,7.655998437162978,51.041221195342914,48.11016797714521,-2.931053218197704,0.4326319347631957,-0.6166801748582025,-1.0493121096213982,94.1699841650867,62.8911971472643,-31.278787017822403,0.687800994,0.562710437,-0.12509055700000005,5509.644674426163,5382.118364194833,-127.52631023133017
Abraham Toro,2024,2025,364,284,59.297010117590006,57.05143543357708,-2.2455746840129223,41.4834654331965,42.51445428787828,1.0309888546817803,50.37983034453245,44.00585200981563,-6.373978334716824,50.54521826622568,44.17795221451404,-6.367266051711638,45.10267630804729,42.658361770081925,-2.4443145379653686,0.7019116509443863,-0.6807811823738064,-1.3826928333181927,86.83298532864347,77.32052316386951,-9.512462164773964,0.642966046,0.659388764,0.01642271800000006,5730.312100176614,5020.990507967676,-709.3215922089375
Adam Duvall,2021,2022,555,315,41.36358537631989,38.84880966397694,-2.514775712342953,64.1218756578401,54.48470797055959,-9.637167687280517,43.314127279913336,49.47626958771408,6.1621423078007425,64.45116043325564,55.19906883213001,-9.252091601125628,39.414543984523405,41.92213235402094,2.507588369497533,2.264088251174792,0.8430331489723019,-1.4210551022024904,100.90511550670324,87.9100702552128,-12.995045251490438,0.772309151,0.67688734,-0.09542181100000002,5892.736417695608,5461.964065463197,-430.7723522324113
Adam Duvall,2022,2023,315,353,38.84880966397694,40.37381292556435,1.5250032615874147,54.48470797055959,59.491468868597465,5.006760898037875,49.47626958771408,54.7603512502922,5.284081662578124,55.19906883213001,43.48708842347505,-11.71198040865496,41.92213235402094,41.852314996823,-0.06981735719794102,0.8430331489723019,1.5637552730611144,0.7207221240888125,87.9100702552128,117.4949641542531,29.584893899040296,0.67688734,0.834366147,0.15747880700000005,5461.964065463197,5492.737635379869,30.773569916672386
Adam Duvall,2023,2024,353,330,40.37381292556435,37.46252580463138,-2.9112871209329683,59.491468868597465,49.02158194518439,-10.469886923413078,54.7603512502922,42.95536530057291,-11.804985949719295,43.48708842347505,47.267364186075774,3.7802757626007235,41.852314996823,42.39242036758216,0.5401053707591643,1.5637552730611144,-1.0205092329096903,-2.584264505970805,117.4949641542531,58.50203308878724,-58.992931065465854,0.834366147,0.568886888,-0.265479259,5492.737635379869,4548.192045222952,-944.5455901569167
