target,alpha_grid,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1,26.82695795279722,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,19.232620764470973,17.64145641477529,20.895960033245938,24.899310937130945,22.713172800814622,27.21208270938342
wrc_plus,wide_logspace_-3_4_50,C,M1 B2V 5 tools,5,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.026678321560485,16.514252663771565,19.680873099941174,23.704534593270164,21.6094539474717,25.980269059553592
wrc_plus,wide_logspace_-3_4_50,C,M2 constituent stats,22,1.3894954943731375,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,17.745795870959288,16.278319053033,19.256918040078098,22.96097718152359,21.15732194212128,24.910899697656568
wrc_plus,wide_logspace_-3_4_50,C,M3 scalar + age + PA,3,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,19.18195854461076,17.575973134837998,20.755768622071965,24.668367604764182,22.447038020527422,26.812726346078662
wrc_plus,wide_logspace_-3_4_50,C,M4 B2V + age + PA,7,37.27593720314938,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.048221805700706,16.55067972137717,19.652661969284864,23.567079882859893,21.476563459937154,25.689598701965924
wrc_plus,wide_logspace_-3_4_50,C,M5 constituents + age + PA,24,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,17.762324472916823,16.32466365243381,19.25939041970505,22.955365274599984,21.025833289583655,24.94255160240228
wrc_plus,archived_6_value,C,M0 scalar baseline,1,10.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,19.21950413681012,17.618265335409745,20.891605705749487,24.895583052431476,22.704846812594813,27.20726446980178
wrc_plus,archived_6_value,C,M1 B2V 5 tools,5,0.01,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.02668351334404,16.5142534217134,19.680878982589903,23.70453287793446,21.60945145634093,25.980264445599506
wrc_plus,archived_6_value,C,M2 constituent stats,22,1.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,17.774813182619596,16.300888881385415,19.287312974656864,22.9775053980996,21.16283194667523,24.923279767766648
wrc_plus,archived_6_value,C,M3 scalar + age + PA,3,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,19.18195854461076,17.575973134837998,20.755768622071965,24.668367604764182,22.447038020527422,26.812726346078662
wrc_plus,archived_6_value,C,M4 B2V + age + PA,7,10.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.027933369578705,16.527655363193553,19.63366481558553,23.5629284942526,21.466366647688922,25.68432426634972
wrc_plus,archived_6_value,C,M5 constituents + age + PA,24,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,17.762324472916823,16.32466365243381,19.25939041970505,22.955365274599984,21.025833289583655,24.94255160240228
war,wide_logspace_-3_4_50,C,M0 scalar baseline,1,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1334134441918637,1.0384086495779592,1.233217431993349,1.4838927333556877,1.3565160900667095,1.617597813041127
war,wide_logspace_-3_4_50,C,M1 B2V 5 tools,5,51.794746792312125,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1799318180605904,1.0820852593634536,1.28496372746248,1.5216639985476859,1.3805070322197674,1.6680179406230995
war,wide_logspace_-3_4_50,C,M2 constituent stats,22,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1336730927241916,1.0408087495184664,1.2350876975822342,1.4563359476465578,1.335649090788652,1.5804787571467371
war,wide_logspace_-3_4_50,C,M3 scalar + age + PA,3,13.89495494373136,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1460857452336857,1.0520297944779242,1.2409925660231067,1.47574157323545,1.3506489311647836,1.5982654234806175
war,wide_logspace_-3_4_50,C,M4 B2V + age + PA,7,71.96856730011514,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1621406095348983,1.0632104433626144,1.2611244387278318,1.498719045745164,1.35579981546324,1.6373910713928785
war,wide_logspace_-3_4_50,C,M5 constituents + age + PA,24,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.118288437178175,1.026698571613589,1.214112218344039,1.4398460156667807,1.3163974195691401,1.5602195195578477
war,archived_6_value,C,M0 scalar baseline,1,0.01,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.133414051872161,1.0384088909516522,1.2332177992360596,1.4838930022653587,1.3565160597437753,1.6175975612465359
war,archived_6_value,C,M1 B2V 5 tools,5,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1823932151637278,1.0843145047657097,1.2857607056180458,1.5253207997193827,1.3833599052255035,1.6729836190130523
war,archived_6_value,C,M2 constituent stats,22,0.01,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1335211624045511,1.0407349414822114,1.2348715474775038,1.456222884949159,1.3354962938876318,1.5803478419340191
war,archived_6_value,C,M3 scalar + age + PA,3,10.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1459316178447423,1.051679744859082,1.2408140881290424,1.4754649421427386,1.3503093986481,1.5980789329776552
war,archived_6_value,C,M4 B2V + age + PA,7,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1618753941234892,1.0623573804952853,1.2625287687900542,1.4993148026576655,1.3550878255352268,1.639425155527573
war,archived_6_value,C,M5 constituents + age + PA,24,0.01,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1182122694910572,1.0265755544270212,1.214027577133201,1.439787900662793,1.3162920730833019,1.5602140795955324
war_rate,wide_logspace_-3_4_50,C,M0 scalar baseline,1,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5924928922408956,1.4604765858521007,1.7310854920295826,2.059439364755952,1.8851634422230859,2.238968097772024
war_rate,wide_logspace_-3_4_50,C,M1 B2V 5 tools,5,51.794746792312125,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5579558369554412,1.4267446622458446,1.6948280340082413,2.014247935980541,1.845286720745002,2.1890209801552816
war_rate,wide_logspace_-3_4_50,C,M2 constituent stats,22,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5411251006331896,1.4206318698276545,1.664162868620127,1.9370662163324923,1.7909907142655404,2.091685460425881
war_rate,wide_logspace_-3_4_50,C,M3 scalar + age + PA,3,37.27593720314938,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5741060305659555,1.44073501798768,1.7101924411005125,2.0279468107783716,1.860289197746904,2.1993899577851375
war_rate,wide_logspace_-3_4_50,C,M4 B2V + age + PA,7,5.179474679231207,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5527115924150974,1.4261292158725936,1.6865591122173205,1.9987830389943235,1.831878614523017,2.16383937912767
war_rate,wide_logspace_-3_4_50,C,M5 constituents + age + PA,24,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5354978970833548,1.419416774603561,1.6571584156858075,1.9306982712604606,1.7843257659553386,2.083600200202761
war_rate,archived_6_value,C,M0 scalar baseline,1,0.01,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.592493285349557,1.4604762255219406,1.7310862500208455,2.059439432206023,1.8851633546812778,2.238968149577567
war_rate,archived_6_value,C,M1 B2V 5 tools,5,10.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.557851149949114,1.4270045816593238,1.69542581249517,2.014603338053428,1.8470685133612739,2.186925188620185
war_rate,archived_6_value,C,M2 constituent stats,22,0.01,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5408737376001767,1.4203139176454835,1.6639962230412249,1.936937622059629,1.7909737072730192,2.091671827391547
war_rate,archived_6_value,C,M3 scalar + age + PA,3,10.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5750028956369493,1.4407338867563348,1.7103430014571495,2.028125344556229,1.86010270048302,2.1992413100646298
war_rate,archived_6_value,C,M4 B2V + age + PA,7,10.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5526608147725982,1.4259407923078076,1.6863055945010514,1.9985994009369135,1.8314599199570292,2.163452460890224
war_rate,archived_6_value,C,M5 constituents + age + PA,24,0.01,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5353431184641189,1.419301562436011,1.6570365460918548,1.930613480860715,1.784181019037219,2.0835959505641863
