target,alpha_grid,fold,candidate,baseline,n_test,sign,improvement_mae,ci_low,ci_high,excludes_zero,bootstrap_unit,n_boot,direction,positive_means_candidate_better
wrc_plus,wide_logspace_-3_4_50,C,M1 B2V 5 tools,M2 constituent stats,358,baseline better,-0.2808824506011973,-0.8765612506170758,0.28835318194033177,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,C,M1 B2V 5 tools,M0 scalar baseline,358,candidate better,1.2059424429104872,0.41181361148536233,2.0186215656595388,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,C,M4 B2V + age + PA,M5 constituents + age + PA,358,baseline better,-0.2858973327838825,-0.6578548493479147,0.09922777439606571,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,C,M2 constituent stats,M0 scalar baseline,358,candidate better,1.4868248935116846,0.4635703720373754,2.468684632745303,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,C,M4 B2V + age + PA,M3 scalar + age + PA,358,candidate better,1.1337367389100557,0.40418562042026923,1.841893552866321,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,C,M5 constituents + age + PA,M3 scalar + age + PA,358,candidate better,1.4196340716939382,0.566432117606891,2.2613715202180944,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,archived_6_value,C,M1 B2V 5 tools,M2 constituent stats,358,baseline better,-0.25187033072444365,-0.8438396944761731,0.3208500788815856,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,archived_6_value,C,M1 B2V 5 tools,M0 scalar baseline,358,candidate better,1.1928206234660799,0.40262246479843516,2.012344090952605,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,archived_6_value,C,M4 B2V + age + PA,M5 constituents + age + PA,358,baseline better,-0.26560889666188103,-0.6457524091895659,0.11722349855658001,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,archived_6_value,C,M2 constituent stats,M0 scalar baseline,358,candidate better,1.4446909541905235,0.4233714418552685,2.438560402675334,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,archived_6_value,C,M4 B2V + age + PA,M3 scalar + age + PA,358,candidate better,1.1540251750320571,0.4040594111933138,1.8804095147815652,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,archived_6_value,C,M5 constituents + age + PA,M3 scalar + age + PA,358,candidate better,1.4196340716939382,0.566432117606891,2.2613715202180944,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,wide_logspace_-3_4_50,C,M1 B2V 5 tools,M2 constituent stats,358,baseline better,-0.046258725336398854,-0.09760286670370738,0.004729190781570382,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,wide_logspace_-3_4_50,C,M1 B2V 5 tools,M0 scalar baseline,358,baseline better,-0.0465183738687267,-0.1003739374018619,0.008499931628570602,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,wide_logspace_-3_4_50,C,M4 B2V + age + PA,M5 constituents + age + PA,358,baseline better,-0.04385217235672334,-0.0886802872625292,-0.0028406339994558267,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,wide_logspace_-3_4_50,C,M2 constituent stats,M0 scalar baseline,358,baseline better,-0.0002596485323278497,-0.05839123166756503,0.06103764384579285,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,wide_logspace_-3_4_50,C,M4 B2V + age + PA,M3 scalar + age + PA,358,baseline better,-0.016054864301212612,-0.057361352883939315,0.02471963425452121,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,wide_logspace_-3_4_50,C,M5 constituents + age + PA,M3 scalar + age + PA,358,candidate better,0.027797308055510728,-0.019512067179516666,0.0750934351817102,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,archived_6_value,C,M1 B2V 5 tools,M2 constituent stats,358,baseline better,-0.04887205275917661,-0.09947811018089908,0.0009457865786023289,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,archived_6_value,C,M1 B2V 5 tools,M0 scalar baseline,358,baseline better,-0.04897916329156682,-0.10254117100384437,0.006222215936114774,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,archived_6_value,C,M4 B2V + age + PA,M5 constituents + age + PA,358,baseline better,-0.04366312463243194,-0.08801827005516868,-0.0025842913542348084,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,archived_6_value,C,M2 constituent stats,M0 scalar baseline,358,baseline better,-0.00010711053239020885,-0.05819982210104559,0.06123634372468974,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,archived_6_value,C,M4 B2V + age + PA,M3 scalar + age + PA,358,baseline better,-0.01594377627874688,-0.05757920888211111,0.02414071383596094,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,archived_6_value,C,M5 constituents + age + PA,M3 scalar + age + PA,358,candidate better,0.027719348353685058,-0.01964802473716392,0.07503370034809831,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,wide_logspace_-3_4_50,C,M1 B2V 5 tools,M2 constituent stats,358,baseline better,-0.016830736322251516,-0.07428559648294135,0.041182942921318265,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,wide_logspace_-3_4_50,C,M1 B2V 5 tools,M0 scalar baseline,358,candidate better,0.03453705528545448,-0.02405857026694409,0.09146744397540053,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,wide_logspace_-3_4_50,C,M4 B2V + age + PA,M5 constituents + age + PA,358,baseline better,-0.01721369533174255,-0.069144533257574,0.03495523087244912,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,wide_logspace_-3_4_50,C,M2 constituent stats,M0 scalar baseline,358,candidate better,0.05136779160770599,-0.03118914087518853,0.12915596821904154,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,wide_logspace_-3_4_50,C,M4 B2V + age + PA,M3 scalar + age + PA,358,candidate better,0.021394438150858175,-0.03187684477885805,0.07396006824884567,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,wide_logspace_-3_4_50,C,M5 constituents + age + PA,M3 scalar + age + PA,358,candidate better,0.038608133482600726,-0.036373262726420066,0.1118223556000597,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,archived_6_value,C,M1 B2V 5 tools,M2 constituent stats,358,baseline better,-0.016977412348937237,-0.07449721795521029,0.04121179677784537,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,archived_6_value,C,M1 B2V 5 tools,M0 scalar baseline,358,candidate better,0.03464213540044314,-0.025985581648851935,0.09324483076798501,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,archived_6_value,C,M4 B2V + age + PA,M5 constituents + age + PA,358,baseline better,-0.017317696308479347,-0.06920302076921446,0.03469949946458019,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,archived_6_value,C,M2 constituent stats,M0 scalar baseline,358,candidate better,0.05161954774938038,-0.030921679998105616,0.12933882276088193,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,archived_6_value,C,M4 B2V + age + PA,M3 scalar + age + PA,358,candidate better,0.022342080864351077,-0.03108869141849962,0.07412062766465422,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,archived_6_value,C,M5 constituents + age + PA,M3 scalar + age + PA,358,candidate better,0.039659777172830424,-0.035224061109999025,0.1134023647314567,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
