target,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
wrc_plus,A,M0 scalar baseline,1,0.001,351.0,False,2021->2022,2022->2023,350,19.327060089468365,17.696356300933232,20.963277311029177,24.82299558112547,22.83424466811873,26.68630637662823
wrc_plus,A,M1 B2V 5 tools,5,13.89495494373136,351.0,False,2021->2022,2022->2023,350,18.601702805864033,17.082790710539022,20.13321034816623,23.445511484500557,21.677928991076676,25.217099229621024
wrc_plus,A,M6 Marcel (no fit),1,,,,none (deterministic projection),2022->2023,350,19.610159505149422,17.94909302364024,21.26875537875814,24.99420294642985,22.990023449846085,26.88627373389703
wrc_plus,A,M6c Marcel calibrated,1,0.001,351.0,False,2021->2022,2022->2023,350,18.897912693030364,17.35707304974258,20.511255823436986,23.97053762308101,22.123271277692464,25.752259999965954
wrc_plus,A,M7 Marcel + B2V,6,37.27593720314938,351.0,False,2021->2022,2022->2023,350,18.584225565698564,17.115056343410757,20.120304037203706,23.429011515147003,21.676084865991395,25.101838704695396
wrc_plus,A,M7x Marcel + B2V + age + PA,8,37.27593720314938,351.0,False,2021->2022,2022->2023,350,18.191080372435817,16.719021592792224,19.708451060693864,22.942697664894606,21.201114758266044,24.616847122227977
wrc_plus,B,M0 scalar baseline,1,0.001,701.0,False,2021->2022; 2022->2023,2023->2024,355,20.551966921840428,18.82123246375185,22.376816310175954,26.64393893205324,24.563747600939962,28.90035333220158
wrc_plus,B,M1 B2V 5 tools,5,0.001,701.0,False,2021->2022; 2022->2023,2023->2024,355,18.977077139721473,17.407986827573584,20.723416777332126,24.61716697158456,22.60487578668437,26.701753313441756
wrc_plus,B,M6 Marcel (no fit),1,,,,none (deterministic projection),2023->2024,355,20.013812171780234,18.339698213285615,21.74367786385913,26.104781692937618,23.882493432392906,28.33775082182108
wrc_plus,B,M6c Marcel calibrated,1,0.001,701.0,False,2021->2022; 2022->2023,2023->2024,355,19.355137454657473,17.73131854155507,21.127275559893963,25.353431859032085,23.28515751331187,27.55068920940152
wrc_plus,B,M7 Marcel + B2V,6,51.794746792312125,701.0,False,2021->2022; 2022->2023,2023->2024,355,18.760523479518092,17.23488949154443,20.499527698219197,24.50461237293613,22.508652564055794,26.618082144199366
wrc_plus,B,M7x Marcel + B2V + age + PA,8,51.794746792312125,701.0,False,2021->2022; 2022->2023,2023->2024,355,18.977872445316635,17.4377435073547,20.658902442569687,24.66107779457838,22.689243898514057,26.764073680959125
wrc_plus,C,M0 scalar baseline,1,26.82695795279722,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,19.232620764470973,17.64145641477529,20.895960033245938,24.899310937130945,22.713172800814622,27.21208270938342
wrc_plus,C,M1 B2V 5 tools,5,0.001,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.026678321560485,16.514252663771565,19.680873099941174,23.704534593270164,21.6094539474717,25.980269059553592
wrc_plus,C,M6 Marcel (no fit),1,,,,none (deterministic projection),2024->2025,358,19.45678591876698,17.808126362536683,21.163836893492494,25.317314200750822,23.26345688884182,27.419889459788646
