target,pool,fold,candidate,baseline,n_test,sign,improvement_mae,ci_low,ci_high,excludes_zero,bootstrap_unit,n_boot,direction,positive_means_candidate_better
wrc_plus,same_season,A,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",350,candidate better,1.1990476190476222,-0.6010952380952392,3.0733571428571436,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,same_season,A,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",350,candidate better,0.8925714285714292,-0.6208857142857128,2.4287571428571404,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,same_season,A,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",350,candidate better,0.2402857142857151,-0.9902714285714281,1.4567785714285675,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,same_season,B,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",355,candidate better,0.9239436619718262,-0.8837793427230076,2.6968309859154913,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,same_season,B,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",355,candidate better,1.320563380281694,-0.20690140845070795,2.7847887323943645,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,same_season,B,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",355,candidate better,1.4261971830985871,0.20348591549296105,2.617929577464785,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,same_season,C,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",358,baseline better,-0.022346368715083997,-1.815945065176909,1.7347299813780277,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,same_season,C,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",358,baseline better,-0.2033519553072587,-1.6510195530726253,1.3879189944134063,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,same_season,C,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",358,baseline better,-0.35810055865921697,-1.4888617318435822,0.7757262569832376,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,same_season,pooled,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",1063,candidate better,0.6958294136092817,-0.3495608943966661,1.6982877657265896,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,same_season,pooled,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",1063,candidate better,0.6664158043273787,-0.23779612403100936,1.5208909649429205,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,same_season,pooled,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",1063,candidate better,0.4348071495766703,-0.3075132513718791,1.1707584974575396,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,A,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",350,candidate better,1.0933333333333302,-0.7419047619047596,2.8491904761904694,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,A,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",350,candidate better,0.44342857142857284,-1.1149000000000042,1.8748714285714307,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,A,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",350,candidate better,1.1282857142857168,-0.03881428571428359,2.2877785714285688,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,B,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",355,candidate better,0.6751173708920177,-1.2142957746478886,2.3700469483568045,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,B,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",355,candidate better,1.087887323943665,-0.3999718309859175,2.4915492957746452,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,B,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",355,candidate better,0.9580281690140815,-0.26850704225352046,2.1229084507042297,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,C,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",358,candidate better,0.3286778398510215,-1.5022811918063321,2.104445996275603,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,C,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",358,candidate better,1.0212290502793273,-0.4224162011173173,2.4124301675977655,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,C,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",358,candidate better,0.27569832402234695,-0.826270949720671,1.419203910614519,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,pooled,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",1063,candidate better,0.6961429915333994,-0.44542475583255575,1.7981274090459571,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,pooled,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",1063,candidate better,0.8532455315145846,-0.0661169467787082,1.7348106789318145,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,past_seasons,pooled,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",1063,candidate better,0.7842897460018818,0.1085547185554404,1.4063414060771375,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,same_season,A,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",350,baseline better,-0.041999999999999815,-0.17154047619047608,0.0826690476190476,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,same_season,A,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",350,baseline better,-0.0688000000000002,-0.17309428571428573,0.034080000000000235,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,same_season,A,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",350,baseline better,-0.08814285714285708,-0.17217928571428578,-0.006235000000000006,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,same_season,B,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",355,baseline better,-0.1369953051643189,-0.2508967136150234,-0.02337323943661964,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,same_season,B,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",355,baseline better,-0.072507042253521,-0.169607042253521,0.02411408450704216,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,same_season,B,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",355,baseline better,-0.04591549295774655,-0.12498661971830989,0.03147323943661954,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,same_season,C,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",358,baseline better,-0.01312849162011176,-0.1286894785847302,0.09295856610800729,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,same_season,C,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",358,baseline better,-0.04458100558659206,-0.14113128491620108,0.05411312849161993,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,same_season,C,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",358,baseline better,-0.08078212290502806,-0.16100977653631274,-0.0026243016759773608,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,same_season,pooled,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",1063,baseline better,-0.06400125431169679,-0.13226246711003384,0.0001859751038813079,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,same_season,pooled,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",1063,baseline better,-0.06188146754468482,-0.12049820456403984,-0.00650168914186369,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
