target,encoding,features,folds_beating_scalar,all_three_same_sign,folds_ci_excludes_zero,pooled_improvement,pooled_ci_low,pooled_ci_high,pooled_excludes_zero
wrc_plus,ZScore,5 tools,3,True,3,1.170920335348729,0.7060202307890424,1.6305628011839624,True
wrc_plus,ZScore,5 tools + age + PA,3,True,3,1.2932630192981307,0.7863325884303125,1.7949134338635742,True
wrc_plus,PCA,5 tools,3,True,2,1.1883881368868678,0.7283302137660634,1.6502943538477262,True
wrc_plus,PCA,5 tools + age + PA,3,True,3,1.3122568750668222,0.8076394034403297,1.81484401655458,True
wrc_plus,JointVAE,5 tools,3,True,3,1.1061307685009787,0.6477274337962758,1.5517985137219144,True
wrc_plus,JointVAE,5 tools + age + PA,3,True,3,1.3853385938875498,0.8860256797784495,1.8779455234279354,True
war,ZScore,5 tools,0,True,1,-0.04748987594061038,-0.08035829682990692,-0.015813949685577377,True
war,ZScore,5 tools + age + PA,1,False,0,-0.008301438658226301,-0.040901722787148924,0.024055776108601847,False
war,PCA,5 tools,0,True,1,-0.04726231029470207,-0.07998070639303516,-0.015186594592714923,True
war,PCA,5 tools + age + PA,1,False,0,-0.008074053587411312,-0.041275209195916415,0.02436912023799558,False
war,JointVAE,5 tools,0,True,0,-0.03831509334421468,-0.0685217433617351,-0.0073967520470887204,True
war,JointVAE,5 tools + age + PA,1,False,1,0.008769519102034273,-0.02178911969535699,0.039759107105073355,False
war_rate,ZScore,5 tools,3,True,1,0.045730157250804426,0.013183064151162448,0.07681452599240954,True
war_rate,ZScore,5 tools + age + PA,3,True,1,0.06671509135413656,0.021747549239779666,0.10982277713026961,True
war_rate,PCA,5 tools,3,True,1,0.04727332876820367,0.014451436222729885,0.0783844434524205,True
war_rate,PCA,5 tools + age + PA,3,True,1,0.0687294435920276,0.0238011758685368,0.1118337125796081,True
war_rate,JointVAE,5 tools,3,True,0,0.043787560256567826,0.010424076133126603,0.07682373563512018,True
war_rate,JointVAE,5 tools + age + PA,3,True,1,0.07819498250276635,0.03218580603362337,0.12222132709241416,True
