target,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
wrc_plus,A,M0 scalar baseline,1,0.001,351,False,2021->2022,2022->2023,350,19.327060089468365,17.696356300933232,20.963277311029177,24.82299558112547,22.83424466811873,26.68630637662823
wrc_plus,A,M1 JointVAE 5 tools,5,10.0,351,False,2021->2022,2022->2023,350,18.48206783908507,16.924098302445532,19.96930076524601,23.267445944407903,21.422752793218205,25.072135759454103
wrc_plus,A,M1 JointVAE 5 tools + age + PA,7,37.27593720314938,351,False,2021->2022,2022->2023,350,17.838932173587636,16.299615161320745,19.36117122308205,22.70486602136128,20.885396622962478,24.451290515419515
wrc_plus,A,M1 PCA 5 tools,5,7.196856730011514,351,False,2021->2022,2022->2023,350,18.61325543972093,17.094077403809397,20.150813012154792,23.44685560668585,21.68664039325,25.22347953820343
wrc_plus,A,M1 PCA 5 tools + age + PA,7,7.196856730011514,351,False,2021->2022,2022->2023,350,18.059132527696647,16.539558479545928,19.563498667841564,22.872736391358305,21.12924089399969,24.587882579591163
wrc_plus,A,M1 ZScore 5 tools,5,13.89495494373136,351,False,2021->2022,2022->2023,350,18.601702805864033,17.082790710539022,20.13321034816623,23.445511484500557,21.677928991076676,25.217099229621024
wrc_plus,A,M1 ZScore 5 tools + age + PA,7,10.0,351,False,2021->2022,2022->2023,350,18.05816629559582,16.55105785743967,19.5701558355209,22.881255752889203,21.143645987425618,24.594035101741014
wrc_plus,B,M0 scalar baseline,1,0.001,701,False,2021->2022; 2022->2023,2023->2024,355,20.551966921840428,18.82123246375185,22.376816310175954,26.64393893205324,24.563747600939962,28.90035333220158
wrc_plus,B,M1 JointVAE 5 tools,5,26.82695795279722,701,False,2021->2022; 2022->2023,2023->2024,355,19.089486144970003,17.501677450266623,20.83760784426565,24.850637589164627,22.803176367766405,26.981340386205474
wrc_plus,B,M1 JointVAE 5 tools + age + PA,7,26.82695795279722,701,False,2021->2022; 2022->2023,2023->2024,355,19.000683797690698,17.420387178537094,20.748812095849296,24.801832735355788,22.829696470021993,26.9418404329301
wrc_plus,B,M1 PCA 5 tools,5,0.001,701,False,2021->2022; 2022->2023,2023->2024,355,18.93854159721846,17.36344630121912,20.698986975598114,24.59871136148293,22.57884941889633,26.665918016853986
wrc_plus,B,M1 PCA 5 tools + age + PA,7,19.306977288832496,701,False,2021->2022; 2022->2023,2023->2024,355,19.09076537356327,17.52021797061353,20.8123527004564,24.78299866879665,22.82936606914191,26.85576346471673
wrc_plus,B,M1 ZScore 5 tools,5,0.001,701,False,2021->2022; 2022->2023,2023->2024,355,18.977077139721473,17.407986827573584,20.723416777332126,24.61716697158456,22.60487578668437,26.701753313441756
wrc_plus,B,M1 ZScore 5 tools + age + PA,7,13.89495494373136,701,False,2021->2022; 2022->2023,2023->2024,355,19.124893867139686,17.54430153746256,20.822711068608363,24.79533771012707,22.819277773714305,26.844623663579668
wrc_plus,C,M0 scalar baseline,1,26.82695795279722,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,19.232620764470973,17.64145641477529,20.895960033245938,24.899310937130945,22.713172800814622,27.21208270938342
wrc_plus,C,M1 JointVAE 5 tools,5,26.82695795279722,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.22455081057884,16.677826914648524,19.907762962883247,24.061126092459833,21.94405117316222,26.361101581866965
wrc_plus,C,M1 JointVAE 5 tools + age + PA,7,51.794746792312125,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.11232845812725,16.549088521302465,19.74014890789024,23.783316376441924,21.639171139281046,25.97732402843246
wrc_plus,C,M1 PCA 5 tools,5,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.00172978162645,16.4978476261826,19.65409692575007,23.693211188677537,21.580246607220637,25.95278894712319
wrc_plus,C,M1 PCA 5 tools + age + PA,7,37.27593720314938,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.024721708779516,16.519385496989116,19.624859357419354,23.561660075833224,21.46074990041542,25.695740866002428
wrc_plus,C,M1 ZScore 5 tools,5,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.026678321560485,16.514252663771565,19.680873099941174,23.704534593270164,21.6094539474717,25.980269059553592
wrc_plus,C,M1 ZScore 5 tools + age + PA,7,37.27593720314938,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.048221805700706,16.55067972137717,19.652661969284864,23.567079882859893,21.476563459937154,25.689598701965924
wrc_plus,pooled,M0 scalar baseline,1,,,,re-fitted per fold,all rolling-origin test seasons,1063,19.704325044447685,18.70126410031097,20.76001479251453,25.470714367641396,24.15106083669304,26.751971250546177
wrc_plus,pooled,M1 JointVAE 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.598194275946707,17.642724361866705,19.598358577361054,24.0721004555581,22.844782604312208,25.323592053783017
wrc_plus,pooled,M1 JointVAE 5 tools + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.318986450560136,17.32633941753705,19.284543265466983,23.783707450524126,22.551253096931447,25.028922313525726
wrc_plus,pooled,M1 PCA 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.515936907560818,17.59360776160951,19.466953125483172,23.919616724132236,22.73377706412216,25.15575550875479
wrc_plus,pooled,M1 PCA 5 tools + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.392068169380863,17.43882758025507,19.351655001602904,23.75579389090718,22.573550533918713,24.94172453412127
wrc_plus,pooled,M1 ZScore 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.533404709098956,17.60665430675153,19.489151048761414,23.92930010225373,22.738515222146255,25.173076920720334
wrc_plus,pooled,M1 ZScore 5 tools + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.411062025149555,17.45505195502659,19.37338958641774,23.7646041411005,22.578785207170924,24.95136010905899
war,A,M0 scalar baseline,1,10.0,351,False,2021->2022,2022->2023,350,1.1825188302108434,1.0850091470459577,1.284433612020509,1.5087850495147257,1.3732148810808225,1.6573867330583334
war,A,M1 JointVAE 5 tools,5,26.82695795279722,351,False,2021->2022,2022->2023,350,1.2300315048841601,1.1338328447933932,1.3344330132418856,1.5444399855590951,1.4091033353453275,1.692854450323933
