target,window,touches_2020,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
wrc_plus,2019-2025 (all),True,2020->21,M0 scalar baseline,1,13.89495494373136,275.0,True,2019->2020,2020->2021,279,20.7824694541708,18.98066892579661,22.577460743751097,26.180892305729436,23.911701544102115,28.39042188429563
wrc_plus,2019-2025 (all),True,2020->21,M1 B2V 5 tools,5,10.0,275.0,True,2019->2020,2020->2021,279,19.960966238988334,18.234545591178385,21.669937120712493,24.979889036387235,22.76993565166851,27.206949420795155
wrc_plus,2019-2025 (all),True,2020->21,M2 constituent stats,22,517.9474679231203,275.0,True,2019->2020,2020->2021,279,20.577046504895492,18.833967952158904,22.380663483529375,25.663033294376323,23.44226533751039,27.87143453141722
wrc_plus,2019-2025 (all),True,2020->21,M3 scalar + age + PA,3,138.9495494373136,275.0,True,2019->2020,2020->2021,279,20.664117343999003,18.875559480217987,22.55433306511212,26.127193755353094,23.95818044593797,28.369362147297775
wrc_plus,2019-2025 (all),True,2020->21,M4 B2V + age + PA,7,26.82695795279722,275.0,True,2019->2020,2020->2021,279,19.94136367791978,18.158767457757605,21.67574623224213,25.020655546877624,22.81818313866323,27.245025393652114
wrc_plus,2019-2025 (all),True,2020->21,M5 constituents + age + PA,24,517.9474679231203,275.0,True,2019->2020,2020->2021,279,20.490040648203937,18.716894821732616,22.283450051873295,25.624240973568362,23.419256304690325,27.84575716690523
wrc_plus,2019-2025 (all),True,2020->21,M6 Marcel (no fit),1,,,,,,279,19.255564260199538,17.441590074642818,21.063839168304526,24.923836904437586,22.56699190655426,27.136091711541997
wrc_plus,2019-2025 (all),True,2020->21,M6c Marcel calibrated,1,71.96856730011514,275.0,True,2019->2020,2020->2021,279,20.11698888419704,18.36252514005341,21.95717871442356,25.596430675153883,23.453946313527887,27.76775629019595
wrc_plus,2019-2025 (all),True,2020->21,M7 Marcel + B2V,6,100.0,275.0,True,2019->2020,2020->2021,279,19.841700634787863,18.097799498558242,21.599318072685275,24.962692051474644,22.783314046574354,27.12928313721049
wrc_plus,2019-2025 (all),True,2021->22,M0 scalar baseline,1,0.001,554.0,False,2019->2020; 2020->2021,2021->2022,354,20.126834723204276,18.428927345590704,21.969511729658848,26.098273703541352,23.6377745604641,28.81244407077163
wrc_plus,2019-2025 (all),True,2021->22,M1 B2V 5 tools,5,0.001,554.0,False,2019->2020; 2020->2021,2021->2022,354,19.314736231221733,17.660425425809866,21.12224190274739,25.126583962322766,22.812260710142905,27.788769895670924
