Name,UniqueName,WAR,wRC+,ROI_Contact,ROI_Power,ROI_Speed,ROI_Defense,ROI_Discipline,Best_Tool,Best_ROI,Contact,Power,Speed,Defense,Discipline
Aaron Judge,Aaron Judge (2025),10.123553063479156,204.45786957330023,9.380439716345347,10.361826532606496,-1.117638951230888,-0.7266429146575456,-0.7896656034519813,Power,10.361826532606496,58.12773704676631,80.0,42.87642086433032,54.7325989106232,72.889571000025
Cal Raleigh,Cal Raleigh (2025),9.065312477852814,161.1147743082231,9.014445810948557,10.351494581468403,-2.3452090581941705,-1.7643373658221795,-1.9880719553276442,Power,10.351494581468403,42.98203330171883,77.05072992248961,45.94862697378069,74.12831727985653,53.17225765896432
Bobby Witt Jr.,Bobby Witt Jr. (2025),8.004788844585176,129.71644196602443,9.55808186425565,13.114915594125835,-2.4731911032926743,-1.7963632384171353,-2.232012330780465,Power,13.114915594125835,62.46563426614826,65.17765957198428,73.07113012547809,80.0,45.11730944282793
Shohei Ohtani,Shohei Ohtani (2025),7.474722977328911,172.3156045629402,9.425182241799357,9.67917956354136,-2.21749389188037,-1.56405321264848,-1.9579149337952761,Power,9.67917956354136,50.02425307554227,80.0,61.61787446115412,38.73777752403901,63.57921525817114
Geraldo Perdomo,Geraldo Perdomo (2025),7.079152752480812,137.98755046348717,9.346760153413449,9.390433191896113,-2.080333828439073,-1.25328049478301,-2.0187478678102466,Power,9.390433191896113,74.5577007568764,47.02259641255197,62.27735008269175,59.01807755832581,77.86457527561183
Trea Turner,Trea Turner (2025),6.666986850123993,124.8082278067238,9.562850736403075,13.160733071166774,-2.092760541365443,-1.390100420651653,-2.0163665011284544,Power,13.160733071166774,61.41429834709867,51.3110079730054,75.30722175151837,74.46887423320811,44.55726205432825
Corbin Carroll,Corbin Carroll (2025),6.5267846211336105,139.08839604480144,10.08310201558486,11.448521538290205,-2.49032310197246,-1.7908913203579186,-2.2085360737543906,Power,11.448521538290205,53.60426936196229,69.8565353713293,79.96696502401976,61.76008901300669,50.695888286407374
José Ramírez,José Ramírez (2025),6.3007981342824335,133.4721923751499,9.933480817674642,10.757452745154762,-2.364471694445662,-1.6446771184765325,-2.1182531201603427,Power,10.757452745154762,70.97550519375585,54.90156808894525,78.08681499209005,59.687141476896,59.68804093478487
Francisco Lindor,Francisco Lindor (2025),6.262467207130101,128.77125428201668,10.237295902715287,10.862724444092178,-2.562536234058773,-1.8857083691832341,-2.2807492058407046,Power,10.862724444092178,60.14226617355223,58.19843839642977,63.19459688584076,59.67295847486284,53.242698792298505
Fernando Tatis Jr.,Fernando Tatis Jr. (2025),6.081623189208179,131.28272564346076,9.344119035767008,10.194058536531244,-2.566249927191983,-1.8464553512228543,-2.284462898973914,Power,10.194058536531244,56.32359920186218,61.81837580968167,67.52498710210827,66.86786997796312,63.39585384010012
Juan Soto,Juan Soto (2025),5.790238430984748,155.93110814120718,9.304449126920893,9.79746974852952,-1.7988207586818032,-1.2521797853863363,-1.5827299187094221,Power,9.79746974852952,62.55524280161647,74.86316672892052,69.12671306156746,28.134942515306847,80.0
Julio Rodríguez,Julio Rodríguez (2025),5.72945034937004,125.96944026266532,9.88469304300006,12.587699349747039,-2.5356721222520577,-1.8362403406375172,-2.351568702518849,Power,12.587699349747039,52.06879658014061,63.41291569379656,66.75787505535695,58.89283929338478,36.744764481918864
Jeremy Peña,Jeremy Peña (2025),5.713527144535203,135.11462301057807,9.333909805256807,12.864497701438372,-1.8700056169802064,-1.1952482279201295,-1.7214706511797484,Power,12.864497701438372,58.3933712077372,53.16443646758912,64.50575841097074,63.5705280313132,41.98078987479475
Maikel Garcia,Maikel Garcia (2025),5.624936537258751,120.50392963812814,9.256215066802673,9.245278601238931,-2.1191550224337097,-1.309389717002864,-1.8797561798212357,Contact,9.256215066802673,70.71234951088394,52.39230440136268,53.2728068489286,74.94741179089715,66.01904722887303
Pete Crow-Armstrong,Pete Crow-Armstrong (2025),5.371055371309299,108.9191437637993,9.545203324401482,12.659432705591552,-3.048120581078123,-2.2966338368187267,-2.8545547278271384,Power,12.659432705591552,45.06570836050059,59.985515623557205,73.2362928275455,79.10390096984989,27.493532766678893
George Springer,George Springer (2025),5.1965761135610204,166.12905855908951,9.14242156818733,10.221133754334177,-1.7342800455327896,-1.1876390722373227,-1.475642178665676,Power,10.221133754334177,63.069469629529,67.35719408208635,62.24938409371637,30.607646842400666,62.343535201120304
