source_row,UniqueName,Name,Season,PA,WAR,wRC+,OPS,ZScore_Contact,ZScore_Power,ZScore_Speed,ZScore_Defense,ZScore_Discipline,ZScore_Area,PCA_Contact,PCA_Power,PCA_Speed,PCA_Defense,PCA_Discipline,PCA_Area,JointVAE_Contact,JointVAE_Power,JointVAE_Speed,JointVAE_Defense,JointVAE_Discipline,JointVAE_Area,Contact_sigma,Power_sigma,Speed_sigma,Defense_sigma,Discipline_sigma,player_id,key_mlbam,key_fangraphs,birth_year,age_t,id_status,id_candidate_count,id_candidates
0,Trea Turner (2021),Trea Turner,2021,646,7.1,143,0.911,63.55818760633483,49.17343200499132,66.77447629919808,49.10352276161188,39.40405479434854,6717.832693532323,62.99984331196968,48.83051151745565,66.13684274897246,49.11044337245208,39.81170680952396,6665.537594870639,49.92133,48.99401,66.78581,61.847946,37.99193,6702.49783240107,0.6204869,0.7931021,0.4598366,0.41330594,0.81850284,fg:16252.0,607208,16252,1993.0,28.0,matched,1,fg:16252/mlbam:607208
1,Juan Soto (2021),Juan Soto,2021,654,6.8,164,0.999,66.39865038740825,57.71272698374173,33.14509573048857,44.26214903492213,80.0,7639.303530407557,66.3114340072044,57.3496746610553,30.868396328395768,44.25588233333506,80.0,7506.082820887775,59.017494,50.76238,29.342297,41.406063,80.0,6530.99385261204,0.63945097,0.58438057,0.60130525,0.6252148,0.5858675,fg:20123.0,665742,20123,1998.0,23.0,matched,1,fg:20123/mlbam:665742
2,Fernando Tatis Jr. (2021),Fernando Tatis Jr.,2021,546,6.8,158,0.975,47.34980437442556,66.83746392540118,63.637491980757744,46.76625848095547,41.88256005688376,6817.181891918612,46.63128664910647,66.74706978446905,61.74558189650645,46.77218471587069,42.24994475981179,6689.781787179837,32.35939,67.714966,63.601425,58.89881,48.562916,6978.7558927048685,0.6632926,0.7175944,0.55343837,0.53143936,0.70259565,fg:19709.0,665487,19709,1999.0,22.0,matched,1,fg:19709/mlbam:665487
3,Bryce Harper (2021),Bryce Harper,2021,599,6.6,170,1.044,54.44406770694315,62.59028254529977,39.98613666143103,40.49349240460997,53.784231147694,6008.649136305459,53.58375921080845,62.38578430719109,39.80594272577397,40.48864979627668,54.033635971116325,5954.066960726347,37.520382,61.94613,37.941963,38.117554,58.06331,4999.05913613478,0.72658014,0.6878433,0.83744806,0.72298205,0.6165458,fg:11579.0,547180,11579,1992.0,29.0,matched,1,fg:11579/mlbam:547180
4,Jose Ramirez (2021),Jose Ramirez,2021,636,6.4,140,0.893,63.690377575079005,51.770547272160506,62.91824653324135,51.23352692593079,53.39955777249021,7568.035611896392,64.54513663920736,51.54181367026072,62.20262488874111,51.23353956488341,53.57185875492091,7571.431798724471,56.72455,51.52587,60.05683,59.639977,52.21647,7453.998090884653,0.65246236,0.7099952,0.44618285,0.45250407,0.76263094,fg:13510.0,608070,13510,1992.0,29.0,matched,1,fg:13510/mlbam:608070
5,Vladimir Guerrero Jr. (2021),Vladimir Guerrero Jr.,2021,698,6.3,166,1.002,60.25342236072228,64.1911837105101,37.83621993524834,35.24709384735986,51.133042986606696,5950.446319258978,59.7028162632736,63.87100059357901,36.29546325654936,35.235493559127804,51.28992607146387,5839.379360980693,41.697083,61.45526,34.165985,30.941483,51.966328,4514.708180238687,0.7344852,0.72448903,0.8978699,0.6815017,0.6306222,fg:19611.0,665489,19611,1999.0,22.0,matched,1,fg:19611/mlbam:665489
6,Bryan Reynolds (2021),Bryan Reynolds,2021,646,6.3,140,0.912,59.67281453671621,48.93717633941213,45.87915649042896,53.40869374226755,47.92777155378673,6198.751430406913,59.40913359630182,48.63108582448061,43.670347653725926,53.40961936064468,48.210029351431565,6079.285989400829,46.60518,47.24402,42.645218,56.891884,48.189877,5530.500450361174,0.72191745,0.8283428,0.60322183,0.6114574,0.8076382,fg:19326.0,668804,19326,1995.0,26.0,matched,1,fg:19326/mlbam:668804
7,Carlos Correa (2021),Carlos Correa,2021,640,6.3,133,0.85,60.27245274627805,49.95222353195653,37.80657115964652,58.57619858764778,52.174318724596766,6331.505618492805,60.4749857226703,49.48181289165525,35.763665631645026,58.58276664593213,52.5828331759822,6237.785365028188,49.2426,45.400597,33.803036,63.730667,51.788597,5599.506032323832,0.6999444,0.7985239,0.53293186,0.57187974,0.79684967,fg:14162.0,621043,14162,1994.0,27.0,matched,1,fg:14162/mlbam:621043
8,Brandon Crawford (2021),Brandon Crawford,2021,549,6.2,140,0.895,52.84969374040321,48.06717904531523,40.11969497290878,60.43148051592514,42.708830412395855,5578.600451768902,52.60527788289193,47.926600437658486,39.28374298131086,60.43664967715045,42.94093525591518,5531.455160513078,40.135067,45.43123,39.78414,65.10977,42.48389,5084.526168971281,0.6972957,0.8432292,0.535685,0.52448094,0.8647983,fg:5343.0,543063,5343,1987.0,34.0,matched,1,fg:5343/mlbam:543063
9,Cedric Mullins (2021),Cedric Mullins,2021,675,6.0,136,0.878,60.40422289961885,46.922413113516654,52.6403874101493,49.07054096654673,44.89241960805749,6087.715246909325,60.53580979124451,46.70380933704032,52.03108115740053,49.07368033216727,45.32202419292994,6076.482314421495,48.375275,46.31539,51.532143,53.93027,42.61847,5595.302901206163,0.7202069,0.84747577,0.6612057,0.5695501,0.81978595,fg:17929.0,656775,17929,1994.0,27.0,matched,1,fg:17929/mlbam:656775
10,Marcus Semien (2021),Marcus Semien,2021,724,5.9,131,0.873,55.797543719069374,50.2726739950031,52.26076588961172,48.41234410284413,46.730068982675625,6102.0649641624495,56.27971945867244,50.1544026161136,51.10673402258199,48.41667675840876,47.29281950809991,6092.329861631073,46.091194,50.59617,50.042988,53.321884,44.73834,5696.820754191638,0.7209637,0.81544054,0.68887585,0.59152865,0.77509975,fg:12533.0,543760,12533,1990.0,31.0,matched,1,fg:12533/mlbam:543760
