feature_variant,model,alpha,fold,mae,selected
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,0,19.73843052919572,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,1,19.29841251578339,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,2,21.12291463454604,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,3,21.057592912770517,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,4,18.80266147980143,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,mean,20.004002414419418,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,0,19.738479936166637,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,1,19.298299522363376,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,2,21.122940445197127,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,3,21.057524949441998,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,4,18.802675710844944,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,mean,20.00398411280282,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,0,19.738973427024906,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,1,19.29717091042667,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,2,21.123198249668466,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,3,21.056846111472286,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,4,18.802817854746635,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,mean,20.00380131066779,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,0,19.74385112765094,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,1,19.28601547244175,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,2,21.127423354172997,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,3,21.052178742018036,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,4,18.804222834995983,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,mean,20.002738306255942,True
within_input_season_standardized,Calibrated wRC+ Ridge,100.0,0,19.809626156231666,False
within_input_season_standardized,Calibrated wRC+ Ridge,100.0,1,19.20419938405253,False
within_input_season_standardized,Calibrated wRC+ Ridge,100.0,2,21.17716346297522,False
within_input_season_standardized,Calibrated wRC+ Ridge,100.0,3,21.020092251564513,False
within_input_season_standardized,Calibrated wRC+ Ridge,100.0,4,18.829468560943997,False
within_input_season_standardized,Calibrated wRC+ Ridge,100.0,mean,20.008109963153586,False
within_input_season_standardized,Calibrated wRC+ Ridge,1000.0,0,20.7171536818498,False
within_input_season_standardized,Calibrated wRC+ Ridge,1000.0,1,19.563237449155388,False
within_input_season_standardized,Calibrated wRC+ Ridge,1000.0,2,21.815043228132613,False
within_input_season_standardized,Calibrated wRC+ Ridge,1000.0,3,21.374109715792468,False
within_input_season_standardized,Calibrated wRC+ Ridge,1000.0,4,19.699495560483786,False
within_input_season_standardized,Calibrated wRC+ Ridge,1000.0,mean,20.63380792708281,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.01,0,19.274708135879735,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.01,1,19.08624612057519,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.01,2,20.678279938228467,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.01,3,20.18969656504368,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.01,4,18.844409255961178,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.01,mean,19.61466800313765,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.1,0,19.274752368133694,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.1,1,19.086101443354647,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.1,2,20.678287872960315,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.1,3,20.18967577354547,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.1,4,18.844340595184114,False
within_input_season_standardized,wRC+ + age + PA Ridge,0.1,mean,19.614631610635648,False
