dimension,subset,n_pairs,n_players,pearson,pearson_ci_low,pearson_ci_high,spearman,spearman_ci_low,spearman_ci_high,bootstrap_unit,n_boot,pa_definition
Contact,Overall,1414,567,0.7510136938161551,0.7157542189489965,0.7822550802070023,0.7339123175283861,0.6966170551511808,0.7653826351414704,stable player ID,2000,minimum of PA_t and PA_t+1
Power,Overall,1414,567,0.7477838715598283,0.7061041327649081,0.7812296048057955,0.7299661704950047,0.6919771128555604,0.7595145028544759,stable player ID,2000,minimum of PA_t and PA_t+1
Plate Discipline,Overall,1414,567,0.7748261901356364,0.7397465176184012,0.8039855744709689,0.759972985887637,0.7245158428684135,0.7887706735601804,stable player ID,2000,minimum of PA_t and PA_t+1
Defense,Overall,1414,567,0.5864458952967874,0.5336112956298841,0.6322726251702661,0.5678210806114199,0.5155562200565311,0.6134073393754929,stable player ID,2000,minimum of PA_t and PA_t+1
Speed,Overall,1414,567,0.6394878768897369,0.6007865782097859,0.6743889382055694,0.6261579317831861,0.577524210064121,0.6667493052351768,stable player ID,2000,minimum of PA_t and PA_t+1
Contact,100-249,507,346,0.6256438908539677,0.5655098877034676,0.6771564857915673,0.6035243296718555,0.5355679781035447,0.6616342599834495,stable player ID,2000,minimum of PA_t and PA_t+1
Power,100-249,507,346,0.5794761091689338,0.5104768994121096,0.6429244372059935,0.5715696228033942,0.49568066507894953,0.6372812778920494,stable player ID,2000,minimum of PA_t and PA_t+1
Plate Discipline,100-249,507,346,0.7194958387838588,0.6701191646601574,0.7626279132166758,0.7185971666655312,0.6620217661919215,0.7638449098783258,stable player ID,2000,minimum of PA_t and PA_t+1
Defense,100-249,507,346,0.45867327845360684,0.3710456951533605,0.5363113031970028,0.46252321476345665,0.38281211215205363,0.5398250335175176,stable player ID,2000,minimum of PA_t and PA_t+1
Speed,100-249,507,346,0.5124028498253053,0.44375142327552314,0.5779836206889016,0.533378958318515,0.4591704941869904,0.6032766727775449,stable player ID,2000,minimum of PA_t and PA_t+1
Contact,250-499,567,318,0.7595346539918746,0.7111368094208285,0.8006866521831874,0.7473460050974607,0.6985525282478007,0.7869434331696671,stable player ID,2000,minimum of PA_t and PA_t+1
Power,250-499,567,318,0.7536278189286398,0.6935736272388904,0.8032440212244951,0.7368178446414648,0.6795811241019427,0.7817758671320372,stable player ID,2000,minimum of PA_t and PA_t+1
Plate Discipline,250-499,567,318,0.7806384426030735,0.7411680491218413,0.8155743061393685,0.7658594545943375,0.7158019956600419,0.807442045521352,stable player ID,2000,minimum of PA_t and PA_t+1
Defense,250-499,567,318,0.6092083185535475,0.5200813261268318,0.6817591256024895,0.5657199593510528,0.49092899813980273,0.6352775030713161,stable player ID,2000,minimum of PA_t and PA_t+1
Speed,250-499,567,318,0.6547132916903907,0.5976474041331612,0.7059055103429209,0.6395028329906147,0.5698035363903674,0.6997369926512352,stable player ID,2000,minimum of PA_t and PA_t+1
Contact,At least 500,340,165,0.7842869481619472,0.7130212793400665,0.8366485288494472,0.7755610546193409,0.701234359257216,0.828262304857557,stable player ID,2000,minimum of PA_t and PA_t+1
Power,At least 500,340,165,0.8006736226566943,0.739609680099774,0.8468147716835622,0.7887222716663029,0.7235093352646602,0.8377166772898549,stable player ID,2000,minimum of PA_t and PA_t+1
Plate Discipline,At least 500,340,165,0.8055736388868343,0.7293742311513728,0.8602390836178206,0.75765859973346,0.6745031451743544,0.8185881241648079,stable player ID,2000,minimum of PA_t and PA_t+1
Defense,At least 500,340,165,0.6347587426184628,0.5519075600565185,0.6992594238342845,0.6611582738096148,0.5758984055822797,0.7264116115463428,stable player ID,2000,minimum of PA_t and PA_t+1
Speed,At least 500,340,165,0.6880554376622817,0.6099814156498423,0.7502549888898099,0.7031836729709143,0.6252964372984288,0.7609115439431383,stable player ID,2000,minimum of PA_t and PA_t+1
