feature_variant,model,alpha,fold,mae,selected
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,0,19.768311143861506,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,1,18.60787439565478,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,2,20.61536637725469,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,3,20.785894343305237,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,4,20.126643733753326,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.01,mean,19.980817998765907,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,0,19.768370167113122,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,1,18.607888047052736,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,2,20.615225599480844,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,3,20.78588094516568,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,4,20.12666875961911,False
within_input_season_standardized,Calibrated wRC+ Ridge,0.1,mean,19.980806703686298,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,0,19.768959708114345,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,1,18.608024401281895,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,2,20.613819469141877,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,3,20.78574712055682,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,4,20.12691872542109,False
within_input_season_standardized,Calibrated wRC+ Ridge,1.0,mean,19.980693884903207,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,0,19.77478677555145,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,1,18.609372155189064,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,2,20.599920980844058,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,3,20.784909876673122,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,4,20.129389440032206,False
within_input_season_standardized,Calibrated wRC+ Ridge,10.0,mean,19.979675845657983,True
within_input_season_standardized,Calibrated wRC+ Ridge,100.0,0,19.84337348426531,False
