player_id,Name,Name_t,Season_t,PA_t,WAR_t,wRC+_t,OPS_t,age_t_t,birth_year_t,source_row_t,ZScore_Contact_t,ZScore_Power_t,ZScore_Discipline_t,ZScore_Defense_t,ZScore_Speed_t,safe_ZScore_Contact_t,safe_ZScore_Power_t,safe_ZScore_Discipline_t,safe_ZScore_Defense_t,safe_ZScore_Speed_t,Name_t1,Season_t1,PA_t1,WAR_t1,wRC+_t1,OPS_t1,age_t_t1,birth_year_t1,source_row_t1,ZScore_Contact_t1,ZScore_Power_t1,ZScore_Discipline_t1,ZScore_Defense_t1,ZScore_Speed_t1,safe_ZScore_Contact_t1,safe_ZScore_Power_t1,safe_ZScore_Discipline_t1,safe_ZScore_Defense_t1,safe_ZScore_Speed_t1
fg:10047,Wil Myers,Wil Myers,2021,500,2.2,111,0.768,31.0,1990.0,115,44.46470152735007,41.53666923993704,45.159119870992086,46.09231998450719,40.741877953108926,-0.7189342313824811,-0.09071569926575304,0.39488393099743146,0.270103566777406,-0.0478270028962422,Wil Myers,2022,286,1.2,103,0.713,32.0,1990.0,661,45.182217431794015,41.66805849054322,41.66676422100981,46.622354490301305,41.67275403357218,-0.618509120832669,-0.07170478723457939,-0.07351883895948753,0.3540414468040625,0.07441033388062429
fg:10059,Max Stassi,Max Stassi,2021,319,2.9,105,0.752,30.0,1991.0,80,44.30948803704994,46.16509416277446,43.87160780523232,60.43148051592514,36.73055790013193,-0.7392958792487189,0.4991697409508551,0.2237121166921927,2.623803713097983,-0.5918250970337825,Max Stassi,2022,375,-0.1,63,0.571,31.0,1991.0,832,37.28382054995457,39.80344424631684,48.0704754722414,44.04221898082659,36.62341271312223,-1.6569943122678485,-0.31258398454268804,0.7755614120928928,-0.06345330099629062,-0.6029669411686815
fg:10071,Jonathan Villar,Jonathan Villar,2021,505,2.0,103,0.738,30.0,1991.0,132,46.51735548540394,43.80083869029647,40.63324264810222,43.78610130886472,45.113788972909504,-0.4496572696679251,0.19784911818655004,-0.2068211995153926,-0.10845047914554301,0.5450728981588637,Jonathan Villar,2022,220,-1.2,59,0.562,31.0,1991.0,923,41.8998088724747,38.86176800476312,38.80504770597741,32.68267329184592,51.43038130246484,-1.0500818478161396,-0.434233927897963,-0.4529592730604374,-1.9015546895210735,1.3834117562206605
fg:10155,Mike Trout,Mike Trout,2021,146,2.1,189,1.09,30.0,1991.0,120,54.70891704343278,58.06216159682976,55.83524837230007,44.2712067765593,44.78532517957397,0.6249509463876889,2.0154321796039842,1.8142510452359877,-0.028822888130580093,0.5005280413018027,Mike Trout,2022,499,6.0,176,0.999,31.0,1991.0,475,51.73640933235509,65.61118495899872,49.51948089825788,43.252210070600384,38.9652260462696,0.24323932412163532,3.021375243997822,0.9676877967205126,-0.19128556776047698,-0.28880890874235676
fg:10200,Tucker Barnhart,Tucker Barnhart,2021,388,1.5,81,0.685,30.0,1991.0,174,46.75760097790157,34.28066758616042,38.54833353411413,54.326746530220895,36.67821942528537,-0.41814071714257206,-1.015481640402919,-0.48400514613128315,1.6217427316397184,-0.5989230174665993,Tucker Barnhart,2022,308,0.3,63,0.554,31.0,1991.0,772,49.006653709111696,27.575525713314057,43.76907765052664,48.0970597431428,34.12101303635202,-0.1156703170858317,-1.8922411227947455,0.20523089607605732,0.59266523045962,-0.9386678903736402
fg:10231,Jose Iglesias,Jose Iglesias,2021,511,1.8,89,0.701,31.0,1990.0,150,59.552674020021215,34.012411985274326,27.539407841043328,48.48692777413415,42.52149862519995,1.2603781487282357,-1.049670392701456,-1.9476168935850737,0.6631662354375516,0.19351755229246814,Jose Iglesias,2022,467,1.3,87,0.708,32.0,1990.0,647,64.93257544010012,31.850421185171868,32.117205926037464,46.32408611649752,34.086789976137055,1.9782778758208153,-1.3399910297657647,-1.3397129311704727,0.30577829200434226,-0.9432589690512436
fg:10243,Randal Grichuk,Randal Grichuk,2021,545,0.6,85,0.703,30.0,1991.0,264,51.20404366014154,45.21575678680037,33.43909479424399,44.04002260679384,31.97770362679692,0.16516489616532845,0.3781781930103407,-1.163266869636845,-0.06677059176439688,-1.2363868952101331,Randal Grichuk,2022,538,0.5,89,0.724,31.0,1991.0,737,50.90222667163923,46.45281408824991,34.48342766379799,38.87823600473133,41.022757846836086,0.13356056866465832,0.5464113143986882,-1.0259710917399543,-0.8990434327289961,-0.012787702025671257
fg:10264,Brandon Belt,Brandon Belt,2021,381,3.6,159,0.975,33.0,1988.0,51,50.0642367484226,55.61777110623843,49.00715484781407,43.11216281241644,37.681084427261936,0.015639575092738934,1.703898475451383,0.9064714694831009,-0.219074049767116,-0.46291874890976636,Brandon Belt,2022,298,0.1,97,0.676,34.0,1988.0,801,43.38505966302722,41.943979012442895,49.96178225007448,39.813760669782205,39.55812936320133,-0.8548003274480499,-0.0360601416775545,1.0263333739658975,-0.747665091296091,-0.20926997332431638
fg:10323,Rafael Ortega,Rafael Ortega,2021,330,1.6,122,0.823,30.0,1991.0,158,56.41915321728539,40.83859062373604,45.48095415895019,38.42707797989269,42.77528277008573,0.8493079057779545,-0.17968471544050096,0.43767107097107927,-0.9881068555352117,0.22793467416678198,Rafael Ortega,2022,371,0.7,98,0.688,31.0,1991.0,709,54.94780586091659,36.81886974098734,50.66081999155063,44.30785033785965,33.748657103990475,0.6654753536133289,-0.6981446512468601,1.1190201172842364,-0.020471180094059394,-0.9886200387439606
fg:10324,Marcell Ozuna,Marcell Ozuna,2021,208,-0.2,74,0.645,31.0,1990.0,375,49.45095395291115,43.70780865798989,42.720472742705205,43.736628616267005,35.90227573040574,-0.06481379465288843,0.1859925876226073,0.07067131621871023,-0.11657116958282387,-0.7041531874848926,Marcell Ozuna,2022,507,-0.3,90,0.687,32.0,1990.0,852,47.583645067599576,49.81825082252408,37.4258452269413,37.64998850460248,34.75860191247882,-0.3027682084177334,0.9811734651509624,-0.6358303522220443,-1.0977875988472725,-0.853134315179711
